Company,County Located,"Audio/Visual Carts, Mounts & Stands","Book, Chair & Table Caddies, Carts & Trucks",Cafeteria Furniture,Casegoods,"Computer Furniture, Ergonomic Keyboard Trays & Monitor Arms",Daycare & Preschool Furniture,Demountable Walls,Educational & Dormitory Furniture,Filing & Storage Units,"Freestanding Bookcases, Display Cases, Literature Racks & Shelving","Freestanding Office Furniture, Task Lighting, Panels, Partitions & Privacy Dividers",Healthcare Furniture,Laboratory Furniture,"Law Enforcement Furniture, Evidence Lockers, Weapons Racks & Storage",Library Furniture,"Lobby, Lounge, Reception & Waiting Room Furniture",Mailroom Furniture & Carts,"Meeting & Training Room Furniture, Lecturns & Podiums",Outdoor/Patio Furniture,Seating,Studio Furniture,Systems Furniture & Accessories,Tables,"Window Blinds/Shades, Curtains/Draperies, Drapery Hardware & Interior Shutters",Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Groupe Lacasse, LLC",,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Group Lacasse,1/11/16,,,,,,,
"HighMark Smart, Reliable Seating, Inc. dba Highmark",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Highmark (Seating),10/29/15,,,,,,,
Humanscale Corporation,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Humanscale Corporation,6/13/16,,,,,,,
"Hunsberger Office Supply, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,BOF Associates; Jasper Group; Mity-Lite; Trendway; United Stationers,5/21/16,,,,,,,
"Inline Systems, Division of Fluidconcepts & Design Inc.",,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Inline Systems,11/29/15,,,,,,,
J.P. Jay Associates Inc,,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,"A.S.R.S of America; Arcadia; COMMUNITY, Division of Jasper Seating Company, Inc.; HLF Furniture, Inc.; Jasper Chair Company; Jay's Furniture Products; Kingsley Company; LIAT (formerly Jasper Library Furniture); MJ Industries; Nienkamper; Palmieri Furniture Ltd; Precise Graphix; THA, Inc. (Thomas Hontz Associates); TMC Furniture; VITRA",1/13/16,,,,,,,
"Jasper Seating Company Inc, JSI a Jasper Group Brand Division of Jasper Company",,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,JSI Furniture (Jasper Group Brand),1/13/16,,,,,,,
"KCL Inc., T/A Stotz & Fatzinger Office Supply",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Balt; Boss Design (Furniture); Bretford Manufacturing (Technologyenabled Furniture); Buddy Products; Bush Industries (Furniture); Deflecto; ES Robbins; Eurotech; FireKing; Ghent; Global (Office Furniture); ICEBERG; KFI Seating; LESRO; MAYLINE; Office to Go; RightAngle Products; SAFCO; Screenflex Room Dividers; SentrySafe; Tennsco; United Receptacle; Virco; Waddell Display Cases,1/29/16,,,,,,,
Keilhauer LTD,,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Keilhauer,9/12/15,,,,,,,
Kimball Office Inc.,,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Kimball Office,4/26/16,,,,,,,
"Kurtz Bros., Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,2/2/16,,,,,,,
Lakeshore Learning Materials,,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Lakeshore Learning Materials,2/2/16,,,,,,,
LIAT,,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,LIAT (formerly Jasper Library Furniture),5/1/16,,,,,,,
Longo Associates Inc,,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,BCI; Labscape; Sheldon Lab Systems; VS America,4/14/16,,,,,,,
National Office Furniture Inc,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,National Office Furniture,1/29/16,,,,,,,
"Neutral Posture, Inc.",,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Neutral Posture Inc,1/13/16,,,,,,,
Nightingale Corp,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Nightingale Corp,6/25/16,,,,,,,
"Nova Solutions, Inc.",,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Nova Solutions (Technology Furniture),4/2/16,,,,,,,
Office Furniture Outlet,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Office Furniture Outlet,3/11/16,,,,,,,
OFM Inc,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,OFM (Furniture),3/11/16,,,,,,,
"PEMCo (P&E Educational Furniture & Equipment, Inc. DBA)",Allegheny,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Allied Scoring Tables, Inc.; Art Metal Products (AMP); Balt; Best Rite; Columbia Manufacturing, Inc. (Furniture); Dick Blick Art Materials; Draper, Inc.; HANN; Interior Concepts Furniture; Invincible Office Furniture Solutions; JontiCraft, Inc.; Lyon Workspace Products ; Magnuson Group; Media Technologies; Mitchell Furniture Systems; Mitey Lite Table Company; MooreCo, Inc. (Furniture & Equip); National Public Seating-NPS; Oklahoma Sound Corp.; Palmer Hamilton; SAFCO; Scholar Craft; School Health; Smith System; Southern Aluminum; Spectrum Industries (Furniture); Springs Window Fashions; Surface Works; Tennsco; UltraPlay, Inc. (a PlayCore Company); Wood Designs",5/18/16,49810,,,,,,
"Peter Pepper Products, Inc.",,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Peter Pepper Products, Inc.",1/14/16,,,,,,,
Phillips Office Products dba Phillips Office Solutions,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Claridge Products; Compatico; FireKing; Legacy Furniture; LESRO; Phillips Office Solutions; Plymold; SAFCO; Stelter; Surfaceworks; Tennsco,4/1/16,,,,,,,
Procom Systems Inc,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Eaton Wright Line,9/19/15,,,,,,,
PS Furniture Inc,,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,PS Furniture Inc,12/10/15,,,,,,,
"Radio Maintenance, Inc.",,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Wright Line by Eaton,1/17/16,,,,,,,
Reimers Furniture Mfg inc DBA RFM Preferred Seating,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Reimers Furniture MFG,11/21/15,,,,,,,
School Outfitters LLC,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"3M; Angeles Corporation; Balt; Best Rite; Brookside Design; ChildBrite; Copernicus Educational Products Inc.; Correll, Inc.; Designs International; ECR4Kids; Empire Office Solutions; Ergotron; Foundations Furniture; Georgia Chair; Hallowell; HANN; Hausmann; Ironwood Manufacturing; Jayhawk Plastics; Jonti-Craft, Inc.; KFI Seating; Luxor; Marsh Industries, Inc. (School/Office Products); National Public Seating-NPS; Norwood Commerical Furniture; Office Star; Oklahoma Sound Corp.; PENCO; Populas Furniture by AD-AS; Regency Seating; SAFCO; Sandusky Lee Corporation; Scholar Craft; Screenflex Room Dividers; Smith Carrel, Inc.; Sprogs Early Childhood Furniture; Stevens Industries; Tecno Display, Inc.; Texwood; Toddler Tables; TotMate; UltraPlay, Inc. (a PlayCore Company); Whitney Brothers; Witt Industries; Wood Designs",12/27/15,,,,,,,
"Sico America, Inc",,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,"SICO America, Inc. (Mobile Folding Products)",1/29/16,,,,,,,
Source International,,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,SOURCE INTERNATIONAL,6/14/16,,,,,,,
"Staples Contract & Commercial, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,"9 to 5 Seating; Allsteel; Amcase; AmTab; Artcobell; Cherryman; Copernicus; Diversified Woodcrafts; Global (Office Furniture); Gunlocke; Harden; Hirsh Industries (Filing); HON; Humanscale Corporation; Jonti-Craft, Inc.; La-ZBoy; LIAT (formerly Jasper Library Furniture); Midwest Folding Products; Montissa; National Office Furniture; National Public Seating-NPS; Neutral Posture Inc; Paragon (Furniture); Peter Pepper Products, Inc.; Qubiqa; SAFCO; Scholar Craft; Segis; Staples Brand; System 290 Signage; Tennsco; Vanerum Stelter; Versteel; Via Inc.; Woodware Furniture",8/15/16,,,,,,,
Steelcase Inc,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Steelcase,10/25/15,,,,,,,
Stylex Inc.,,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,STYLEX,3/10/16,,,,,,,
Supply Source Inc dba Supply Source Office Interiors Inc,,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,"Benchmark Design Group; Borroughs Corporation; Comfortek Seating; dHive; Indoor Sky; Interlab, Inc.; Stance Healthcare; Stanley Vidmar",10/29/15,,,,,,,
Tab Products Co LLC,,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,TAB Products; Tennsco,5/14/16,,,,,,,
"Tanner School and Office Furniture (Tanner of PA, Inc. DBA)",,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Aceray; AISAffordable Interior Systems, Inc.; AmTab; Artcobell; Bretford Manufacturing (Technologyenabled Furniture); COMMUNITY, Division of Jasper Seating Company, Inc.; Diversified Woodcrafts; Draper, Inc.; Fleetwood Group, Inc.; Ghent; Jonti-Craft, Inc.; Magnuson Group; Mity-Lite; National Public Seating-NPS; Palmer Hamilton; Paragon (Furniture); Parent Metal Products; Penco Products, Inc.; Plymold; Screenflex Room Dividers; Smith System; Tesco Industries, LP; USA Capitol (Capitol Seating); Wright Line by Eaton",1/25/16,,,,,,,
"Teknion, LLC",,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,TEKNION,4/21/16,,,,,,,
The Brill Company Inc,,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,The Brill Company Inc,8/11/15,,,,,,,
"The Gunlocke Company, LLC",,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Gunlocke,1/11/16,,,,,,,
The HON Company,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,HON,2/12/16,,,,,,,
Toledo Furniture Inc,,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Library Bureau Steel; Media Technologies; Phoenix Office Furniture; Premier Hospitality Furniture; Toledo Furniture,2/2/16,,,,,,,
Trendway Corporation,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,FEEK Furniture; Trendway,1/14/16,,,,,,,
"Versteel/Ditto Sales, Inc.",,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Versteel,3/28/16,,,,,,,
"Watson Furniture Group, Inc",,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,WATSON FURNITURE GROUP,11/7/15,,,,,,,
