Company,County Located,Ammunition,Breathing Systems,Cleaning Equipment & Supplies,Communications Equipment,Emergency Medical Equipment & Supplies,"Emergency Warning Lights, Lightbars & Sirens","Fire Hose, Nozzles, Appliances, Adapters & Accessories",Fire Suppression Equipment & Supplies,"Firefighting & Rescue Equipment, Tools & Supplies",Generators and Lighting,Law Enforcement Equipment & Supplies,Miscellaneous- Loose Supplies,Personal Protective Equipment,Public Safety Equipment & Supplies,Manufacturers,Expiration,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #
"Keystone Fire Apparatus, Inc.",Allegheny,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,"Akron Brass Co.; Aluminum Ladder Company; Bauer Compressors; Command Light; Duo-Safety Ladder Corp.; Elkhart Brass Co.; Fire Hooks Unlimited; Harrington, Inc.; Hotstick; Innotex, Inc.; ISI (International Safety Instruments); KOCHEK CO., INC.; Niedner; StreamLight; Super Vac (Super Vacuum Mfg., Inc.); Task Force Tips; TeleLite; Tempest Technologies; Weldon (Div. of Akron Brass)",10/21/15,48363,,,,,,
"KPI Tactical (Conestoga Data Services, Inc. DBA)",,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,"Army Blood; Cadex Defense; Cold Steel; Columbia River Knife & Tool; ESS; G&P Products; Gerber Outerwear; Kestrel (Nielsen Kellerman); Leatherman Tool Group; Mad Bull; MagPul; Marushin; Maruzen; Maxpedition; McNett; Peltor; ROTHCO; Sabre Equipment, Inc.; Sawyer; Smith & Wesson; Wise Company",9/2/15,48363,,,,,,
"Kustom Signals, Inc.",,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,"Kustom Signals, Inc.",4/23/16,48363,,,,,,
L-3 Communications Mobile-Vision Inc.,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,L-3 Communications,1/31/16,48363,,,,,,
"Lawmen Supply Company of New Jersey, Inc.",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"5.11 Tactical; Atlanco; Avon Protection; Baker Ballistics, LLC; Big Sky Racks; Blauer; Boston Leather; Brite-Strike Technologies; Bullard (PPE); Ceradyne; DeSantis Gunhide; GH Armor Systems; Gloves for Professionals (GFP); Gould & Goodrich, Inc.-G&G Holsters; HWI Gear; Karbon Arms; KDH Defense Systems, Inc.; L&R Ultrasonics; LaserMax; Leatherman Tool Group; Leupold & Stevens, Inc.; Meprolight - Kimber America; Moro Vision; Mustang Survival; Otis Technology; PACA Body Armor; Paraclete; Peerless Handcuff Company; Point Blank Body Armor; PROPPER; Protective Products Enterprises; Sabre Equipment, Inc.; StreamLight; Surefire; Survival Armor",9/7/15,48363,,,,,,
Major Police Supply (General Sales Administration DBA),,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,"Code 3; Cyalume Technologies; ECCO-Noca; Federal Signal; Gamber-Johnson; Havis, Inc.; HiNT Peripherals; Jotto Desk-Jotto Public Safety (GoJotto); Laguna 3P; Nova; Nova Electronics (LED/Strobe Warning Systems); Patriot Products; PTS-Prisoner Transport Systems; Pugs Cabinet Systems; Setina Manufacturing; Sho-Me Able 2; SoundOff Signal; Star Headlight & Lantern Co., Inc.; StreamLight; Troy; Tufloc; Wolfcom Body Camera",10/29/15,48363,,,,,,
"Mannion Enterprises, LLC",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Able 2 Products Company; American Aluminum; Brite-Strike Technologies; Code 3; Convoy Technologies; Federal Signal; Gamber-Johnson; Getac (Rugged Tablets/Laptops); Go Rhino; Havis, Inc.; HG2 Emergency Lighting; Jotto Desk-Jotto Public Safety (GoJotto); Kenwood; L-3 Communications; Lind Electronics; Maxxima; MNStar; Nova Electronics (LED/Strobe Warning Systems); Panorama Antennas; Pro-gard Products, LLC; Pyramid Communications; RAM Mounting Systems; Rockland Cabinets; Sensata Technologies; Setina Manufacturing; SoundOff Signal; Tri Lite Mars; Whelen Engineering Company, Inc.",4/29/16,48363,,,,,,
"Markl Supply Co., Inc.",Allegheny,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,"5.11 Tactical; Aimpoint; ASP, Inc.; Atlanco; Blackhawk Products Group; Blackinton (V.H. Blackinton & Co., Inc.); Condor Outdoor Products; CTS-Combined Tactical Systems; DefTec; DeSantis Gunhide; Diamondback Tactical, LLC; EOTech; First Choice Armor; Fobus USA; Garrett; Gould & Goodrich, Inc.-G&G Holsters; Hatch Corporation; KDH Defense Systems, Inc.; Monadnock Lifetime Products; Peerless Handcuff Company; Pro-gard Products, LLC; PROTECH Tactical (Body Armor); Revision; Safariland, LLC; Second Chance; Setina Manufacturing; Smith & Warren; Speer Ammo; StreamLight; Surefire; Survival Armor; Tru-Spec",12/7/15,48363,,,,,,
"McDonald Uniform, Inc.",,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Blauer; Coast; Elbeco; Fechheimer Brothers Company; Keystone Uniform Cap; Perfect Fit; Point Blank Body Armor; Samuel Broome; Smith & Warren,8/3/16,48363,,,,,,
Mine Safety Appliances Company (MSA),Allegheny,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,MSA-Mine Safety Appliances,8/2/15,48363,,,,,,
Night Vision Depot,,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Exelis; FLIR Systems; Night Vision Depot,7/12/16,48363,,,,,,
"PA Public Safety, LLC",,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,"American Aluminum; Havis, Inc.; Pro-gard Products, LLC; Setina Manufacturing; Troy Products; Whelen Engineering Company, Inc.",8/3/15,48363,,,,,,
Palco Sales Corp,Westmoreland,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Honda Power Equipment; Kohler Power Systems,4/21/16,48363,,,,,,
"Physio-Control, Inc.",,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"Physio-Control, Inc.",4/21/16,48363,,,,,,
"Premier Safety & Service, Inc.",Allegheny,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Accuform; Air Systems International; Akron Brass Co.; Alliance Fire and Rescue (Div. of PIP Industries); Bullard (PPE); Capital Safety; Cutters Edge Industries, Inc.; Dicke Safety Products; Draeger Safety, Inc.; Eagle Manufacturing Company; Elkhart Brass Co.; Ergodyne; FSI North America; Fyrban; Grace Industries; Green Energy; Groves, Inc.-Ready Rack; Hazard Control Technologies, Inc.; Honeywell; HURST Jaws of Life; Industrial Scientific Corporation; Key Fire Hose; KOCHEK CO., INC.; MAKO Compressors; Master Lock; Norlab; Paratech, Inc.; PIP-Protective Industrial Products, Inc.; Prism Lighting Services, LLC; Radians, Inc. (PPE); SafetyGear Corporation; Sensear; Tele-Lite; Tempest Technologies; Tingley Rubber Corp.; Under Water Kinetics; Zep Professional",6/8/15,48363,,,,,,
"Pro-Am Safety, Inc.",Allegheny,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"3M; Acme United Corporation; Air Systems International; Allegro Industries; Amerex Corporation; American Airworks; American Firewear; ANSUL (Brand of Tyco Fire Protection Products); Black Diamond Equipment, Ltd.; Braco Manufacturing; Brady; Capital Safety; Cardiac Science Corporation; CEP; Deb (Deb Group Ltd/Deb SBS); Defibtech, LLC; Evolution Sorbent Products (ESP); Falcon Safety Products; Fire Hooks Unlimited; Fire-Dex, LLC; Fireaide; Georgia Steel & Chemicals; Global Safety Labs, Inc.; Harrington, Inc.; Honeywell; JBC Safety Plastic; Junkin Safety Appliance Company; Kappler; Key Fire Hose; Kimberly-Clark; KOCHEK CO., INC.; Lakeland Industries, Inc.; Lapco; Liberty Glove; MCR Safety; MSA-Mine Safety Appliances; Occunomix; Onguard Industries; Pelican; POK of North America, Inc.; Pyramex Safety Products, LLC; Radians, Inc. (PPE); Ram Fan; Ram'd Air Gear Dryer, Ltd.; RESQTEC (Rescue Equipment); RKI Instruments, Inc.; Scott Safety; Showa Best; Sqwincher; StreamLight; Super Vac (Super Vacuum Mfg., Inc.); TechNiche International; TeleLite; Tingley Rubber Corp.; Under Water Kinetics; Unifire, Inc.; West Chester Holdings, Inc.; ZOLL Medical Corporation",5/16/15,48363,,,,,,
"R.F. Design & Integration, Inc.",,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,"Airaya; D&R Electronics; Exalt Communications; Hytera; Icom America, Inc.; Impact Products; Kenwood; Radio Activity Solutions; Radio Comm; Raytheon-JPS; Selex; Tait; Telex; Zetron",7/31/16,48363,,,,,,
"Radio Maintenance, Inc.",,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,"Bosch Security Systems; Catalyst Communications Technologies, Inc.; Code 3; CTI Products, Inc.; David Clark; dbSpectra; Eventide; Federal Signal; Harris Broadcast; Icom America, Inc.; Kenwood; Motorola, Inc.; Pyramid Communications; ScanSource, Inc.-Line Card; Tait; TESSCO; Vertex Standard (Radio Communications Equipment); Vicon; VideoIQ; Zetron",2/13/16,48363,,,,,,
"Retrac, Inc. d/b/a Think Safe, Inc.",,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Heartsine Samaritan AED; Think Safe,9/22/15,48363,,,,,,
Rogers Uniforms,,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,"5.11 Tactical; Bianchi International; Blackhawk Products Group; Blackinton (V.H. Blackinton & Co., Inc.); Boston Leather; Bulwark; Code 3; Defense Technology; Dickies (Williamson-Dickie Manufacturing Company); Elbeco; Gould & Goodrich, Inc.-G&G Holsters; Hatch Corporation; Hogue, Inc.; Mocean; Monadnock Lifetime Products; Peerless Handcuff Company; Pelican; PROTECH Tactical (Body Armor); Ringers Gloves; Safariland, LLC; Smith & Warren; Spiewak; StreamLight; TECGEN; Thorogood; Whelen Engineering Company, Inc.",2/22/16,48363,,,,,,
Rogue Elite,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Elite Survival Systems; Tru Spec; Turtle Skin Gloves,6/4/16,48363,,,,,,
"Safety League, Inc. dba",,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,"5.11 Tactical; Bianchi International; Blackhawk Products Group; Blauer; Earphone Connection; Elbeco; Fechheimer Brothers Company; Garrett; Hatch Corporation; Koehler; Manadnock; Matterhorn; Moro Vision; MSA-Mine Safety Appliances; PROPPER; PROTECH Tactical (Body Armor); Safariland, LLC; StreamLight; Surefire; Truspec; Under Armour; Whelen Engineering Company, Inc.; Winchester",4/21/16,48363,,,,,,
School Health Corp,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"Cardiac Science Corporation; Good-Lite; Maico Diagnostics, Inc.; Medtronic Emergency Response Systems; Philips Heartstart Defibrillator (AED); Titmus Optical, Inc.; Welch Allyn, Inc.; ZOLL Medical Corporation",4/20/16,48363,,,,,,
Seon Design USA Corp.,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Seon,4/2/16,48363,,,,,,
Smiley's Fire Equipment,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"343 Fire; 911 EP; Akron Brass Co.; Alco-Lite; All Traffic Solutions; Argus TIC; Cardiac Science Corporation; Chemguard; Code 3; Dicke Safety Products; Duo-Safety Ladder Corp.; Elkhart Brass Co.; Federal Signal; Fire Dex; Fire Hooks Unlimited; FireQuip; FoldA Tank; Genesis-LED Lighting; Harrington, Inc.; Havis, Inc.; Iron Duck Industries, Inc.; Key Hose; KOCHEK CO., INC.; Morning Pride Turnout Gear; National Foam; Paratech, Inc.; Pro Warrington Boots; R & B Fabricators; Shelby Gloves; Supervac; SVP; Tele-Lite; Tempest Technologies; Thorogood; W.S. Darley Pumps; Weldon (Div. of Akron Brass); Whelen Engineering Company, Inc.; Ziamatic Corp.",3/9/16,48363,,,,,,
"Staley Communication, Inc.",Allegheny,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,"Axis Communications; Cambium; Motorola, Inc.; NeoTerra Systems; TESSCO",9/3/15,48363,,,,,,
Starr Uniform Center,,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Armor Express,4/21/16,48363,,,,,,
Susquehanna Fire Equipment Company,,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"Akron Brass Co.; Aluminum Ladder Company; ANSUL (Brand of Tyco Fire Protection Products); C.E.T. Fire Pumps Mfg.; Circul-Air Corp.; Custom Machine Works; Eagle Compressors, Inc.; Fire Hooks Unlimited; Globe Holding Company, LLC; Groves, Inc.-Ready Rack; HeartSine Technologies, Inc.; Honeywell; HURST Jaws of Life; Husky Portable Containment; ISG/INFRASYS; Key Fire Hose; KOCHEK CO., INC.; Lakeland Industries, Inc.; LION Apparel, Inc.; Majestic Fire Apparel, Inc.; Niedner; Norlab; North American Fire Hose Corp.; R&B Fabrications, Inc.; RAE Systems; Res-Q-Jack; Rock-NRescue (Weinel); Shelby Gloves; Tempest Technologies; Weinbrenner; WESCO Industrial Products; Worthington Industries-Cylinders; Ziamatic Corp.",2/28/16,48363,,,,,,
Tactical Wear d/b/a Tactical Wear Online,,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"511; Anchor Uniform; ASP, Inc.; Baker Ballistics, LLC; Benchmade; Bianchi International; Blackhawk Products Group; Blackington; Blauer; Boston Leather; Bulwark; Camelbak Products LLC; Condor Outdoor Products; Cornerstone; Defense Technology; Elite First Aid; Fobus USA; Galco; GAME; Garrett Security Systems; Gould & Goodrich, Inc.-G&G Holsters; HAIX; Hiatt; Horace Small; HWC; Klarus; MACE; Maxpedition; Mocean; Moretz Embroidery; Nitecore; Officer Survival Initiative; Original Swat; Peerless Handcuff Company; PowerTac; Premier Emblem Co.; PROPPER; Red Kap; Rite in the Rain; Safariland, LLC; SanMar; Smith & Warren; Smith & Wesson; StreamLight; Survival Armor; Tayga; Tri Mountain; Truspec; Under Armour; United Shield; US Armor; VooDoo Tactical; Wrangler; Zak Tools",12/26/15,48363,,,,,,
"Team Force, Inc",,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Havis, Inc.; Pro-gard Products, LLC; Setina Manufacturing; Troy; Whelen Engineering Company, Inc.",7/31/15,48363,,,,,,
"The FireStore and Officerstore (Witmer Public Safety Group, Inc. DBA)",,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"5.11 Tactical; 8:12 Illumination; 911 EP; Aervoe; Airgas, Inc.; AJAX Tool Works; Akron Brass Co.; Aluminum Ladder Company; Amerex Corporation; Angus Fire; Armor Express; ASP, Inc.; Bianchi International; Blackhawk Products Group; Blackinton (V.H. Blackinton & Co., Inc.); Boston Leather; Bright Star; Bullard (PPE); C.E.T. Fire Pumps Mfg.; C.H. Hanson; Camelbak Products LLC; CCI-Speer Ammunition; Channellock; Chieftain Safety Manufacturing; Code 3; Council Tool Co.; Crews Gear, Inc.; Cutters Edge Industries, Inc.; DeSantis Gunhide; DeWalt; Don Hume Leathergoods; DuoSafety Ladder Corp.; Eagle Manufacturing Company; EMIEmergency Medical International; Euramco Safety Worldwide; Extreme Element Graphics; Fanon Courier; Federal Premium Ammunition; Federal Signal; Fire Hooks Unlimited; Fire Research Corp.; Fire-Dex, LLC; FireCom; Fobus USA; Fol-DaTank; FSI North America; Garrity; Gearmasters; Gerber Outerwear; Gould & Goodrich, Inc.-G&G Holsters; Grace Industries; Hatch Corporation; Havis, Inc.; Husky Portable Containment; INOVA Lighting; Jotto Desk-Jotto Public Safety (GoJotto); Junkin Safety Appliance Company; Key Fire Hose; Kidde (Brand/Division of United Technologies Corp.); KOCHEK CO., INC.; LION Apparel, Inc.; MagLite; Majestic Fire Apparel, Inc.; Marpac; MDI; Milnor; Monadnock Lifetime Products; MSA-Mine Safety Appliances; Mustang Survival; NUPLA; Omniglow; PAC Tools; PACA Body Armor; Pacific Helmets; Paraclete; Paratech, Inc.; Peerless Handcuff Company; Pelican; Petzl; PGI, Inc.; Phenix Technology, Inc. (Helmets); Point Blank Body Armor; Pro-gard Products, LLC; PROPPER; Protective Products Enterprises; Rapid Deployment Products; Ringers Gloves; Rock-NRescue (Weinel); Safariland, LLC; Saunders; Setina Manufacturing; Shaefer Ventilation; Shelby Gloves; Signal Vehicle Products; Simulaids; Sirchie Finger Print Labs, Inc.; Smith & Warren; Smith & Wesson; SoundOff Signal; South Park Corporation; Speer Ammo; Spiewak; Spilltech; Stallion Air, Inc.; Stearns (a subsidiary of The Coleman Co., Inc.); Sterling Rope; StreamLight; Super Vac (Super Vacuum Mfg., Inc.); Surefire; TechTrade, LLC; Tele-Lite; Tempest Technologies; TMP; Topps Safety Apparel; Tru-Spec; TURTLE PLASTICS; Under Armour; VizCon, LLC; Weinbrenner; Whelen Engineering Company, Inc.; Wiley-X; Will-Burt; Yates; Zak Tools; Ziamatic Corp.",6/15/16,48363,,,,,,
The Traffic Safety Store dba W.L. Snook & Associates,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,JBC Safety Plastic; M.L. Kishigo,11/13/15,48363,,,,,,
