TYPE OF CONTRACT,CONTRACT,PARENT,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
STATE,4400010531,6350,Wacor,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010532,6350,Siemens,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010707,6350,Vector Security Systems,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010710,6350,Morefield Communications Inc,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010708,6350,Kennedy Enterprises,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010712,6350,Intervid Inc,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010738,6350,Summit Communications,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400010515,6350,Intertech Security,"SURVEILLANCE, SECURITY AND FIRE SYSTEMS",10/31/2017,50023,,,,,,,
STATE,4400007157,4400004480,22nd Century Technologies,MASTER IT SERVICES ITQ,12/31/9999,48017,,, ,, , , 
STATE,4400006094,4400004480,Accenture LLP,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005006,4400004480,Acclaim Systems,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007341,4400004480,ACD Telecom LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006605,4400004480,Xerox State & Local Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004995,4400004480,Adept Consulting Services,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004778,4400004480,Advanced Technology Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005425,4400004480,Affion Public LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004781,4400004480,Ajilon Consulting,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006618,4400004480,Aklero Process Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005422,4400004480,AlignSync LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006102,4400004480,Allfon LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005007,4400004480,Alpine Technology Group,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004782,4400004480,Aluise and Associated Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006130,4400004480,American Personnel Managers,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006127,4400004480,Appalachia Technologies LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006093,4400004480,Azavea Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005420,4400004480,B Three Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006619,4400004480,BDH Information Technology LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005770,4400004480,Biztech Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006904,4400004480,Black Consulting Services,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006898,4400004480,Brandt Information Services,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007153,4400004480,Capgemini Government Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005775,4400004480,CC Intelligent Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006123,4400004480,Celerity IT of PA LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005438,4400004480,CentreLearn Solutions LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007159,4400004480,CGI Technologies & Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006615,4400004480,Christ Woappi,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004785,4400004480,Ciber Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006896,4400004480,Clifton Gunderson LLP,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004786,4400004480,Collaborative Fusion,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005752,4400004480,Collective Intelligence,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004809,4400004480,Colyar Consulting Group Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006140,4400004480,Communication Technologies Group,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005003,4400004480,Computer Aid,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004976,4400004480,Computer CenterLine Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006611,4400004480,Computer Sciences Corp,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007148,4400004480,Concurrent Technologies Corp,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004997,4400004480,Conestoga Data Services Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005787,4400004480,Connect Pennsylvania,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006108,4400004480,Connect Tek Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006893,4400004480,Core Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005416,4400004480,Coriendo LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004787,4400004480,Corl Communications,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006622,4400004480,Corporate Executive Board,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004979,4400004480,Cosmic Software Technology,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004978,4400004480,Cross Current Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005426,4400004480,CSA Central Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006609,4400004480,CSB Technology Partners,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006128,4400004480,Currier McGabe & Associates,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005778,4400004480,Cybrid,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005008,4400004480,D&E Networks,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005429,4400004480,Dagostino Electronic Services,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006131,4400004480,Data Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006106,4400004480,Data Networks of America,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006888,4400004480,Dell Marketing LP,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004788,4400004480,Deloitte Consulting,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004994,4400004480,Delta Development Group,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006133,4400004480,DiagnosisONE Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005756,4400004480,Diebold Enterprise Security System,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006113,4400004480,Distributed Systems Services,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005398,4400004480,Diverse Technologies Corp,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004993,4400004480,Diversified Data Services,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006608,4400004480,Domino Technologies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004790,4400004480,DPT Consulting Group,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006136,4400004480,Elsevier Science,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005782,4400004480,Environmental Systems Research,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005423,4400004480,"GARTNER GROUP, INC.",MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007152,4400004480,Harmony Information Systems,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007340,4400004480,IdoxSolutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006887,4400004480,Dragline Silk,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004980,4400004480,E&E IT Consulting Services,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004992,4400004480,eData Experts,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005447,4400004480,Eastern Telephone & Telecom,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006892,4400004480,Economic Modeling LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007145,4400004480,HP Enterprise Services,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006109,4400004480,EMC Corp,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007146,4400004480,ESP Solutions Group,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007149,4400004480,EZAPPT,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005748,4400004480,Fileone Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006114,4400004480,First Data Government Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005755,4400004480,Cognosante LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007151,4400004480,Frontier Technologies,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004803,4400004480,Gaming Laboratories,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005399,4400004480,Gannett Fleming Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006617,4400004480,Gantech Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006621,4400004480,GBWH,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006097,4400004480,General Dynamics,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004807,4400004480,Genesis Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004991,4400004480,Gettle Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005435,4400004480,Global Secure Systems Corp,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006900,4400004480,Granicus Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005759,4400004480,Halifax Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005427,4400004480,Healthier Resources Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004791,4400004480,HLN Consulting LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004981,4400004480,Hornby Zeller Associates Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004971,4400004480,IBM Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004804,4400004480,iBusiness Solutions LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005417,4400004480,Idea Integration,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006099,4400004480,Image Api Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004793,4400004480,Imagetech Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005776,4400004480,iMapData Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005745,4400004480,IMR Limited,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005442,4400004480,Indus Consultancy Services Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004795,4400004480,Info Matrix Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005785,4400004480,Information Systems of Florida Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005768,4400004480,Innovative Business Concepts,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006905,4400004480,Integrity Consulting Solutions LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006122,4400004480,IT Professional Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004797,4400004480,JAG Consultancy Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006125,4400004480,Jim Mountain Consulting LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007150,4400004480,Johnson Mirmiran & Thompson,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006897,4400004480,Josef G Oberneir Sr,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006092,4400004480,GYPSY LANE TECHNOLOGIES,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004799,4400004480,JPL Productions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006623,4400004480,JV Kelly Group Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005753,4400004480,Kalkomey Enterprises Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006613,4400004480,Keyser Consulting Group LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006137,4400004480,KIT Network Cabling Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005771,4400004480,Kit Solutions LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004801,4400004480,Koryak Consulting Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006604,4400004480,KPMG LLP,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006610,4400004480,KSYS Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004974,4400004480,L. R. Wechsler Ltd,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006132,4400004480,Lapis Software Associates LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007147,4400004480,LDP Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005788,4400004480,Lets Think Wireless LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006119,4400004480,Liquidhub Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006101,4400004480,LiquidSpoke Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005402,4400004480,Logistics Management Institute,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004761,4400004480,LOGISYS INC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005767,4400004480,LS Digital Solutions LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007154,4400004480,LunaMetrics LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005749,4400004480,Markant Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006100,4400004480,Mathtech Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004805,4400004480,Maximus Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006891,4400004480,McKonly & Asbury LLP,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005777,4400004480,Michael Baker Jr Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004985,4400004480,Mindteck Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004762,4400004480,Momentum Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004987,4400004480,MTG Management Consultants LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007160,4400004480,MTSI Northeast Division Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005400,4400004480,NetComm Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005421,4400004480,Netlan Technology Center Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006115,4400004480,NetServe365 LLC / InnovationsTech,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006105,4400004480,Nu Vision Technologies LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004806,4400004480,NYSTEC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006895,4400004480,OrderPad Software Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006903,4400004480,PC Network Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005405,4400004480,Peak Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006111,4400004480,Pennsylvania Networks Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005784,4400004480,Pennsylvania State University,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004764,4400004480,Pierson Computing Connection,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006606,4400004480,Pink Frog Interactive Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005747,4400004480,Planet Technologies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005786,4400004480,Plus Consulting LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005433,4400004480,Pomeroy IT Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006135,4400004480,PPT Consulting LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004969,4400004480,Prequel Solutions LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004808,4400004480,Protech Professional Technical ,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007162,4400004480,Public Consulting Group Inc.,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004766,4400004480,QuantumMark LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006112,4400004480,R & R Networks Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005409,4400004480,R.W. Communications Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004767,4400004480,RCC Consultants Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006139,4400004480,Reclamere Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004983,4400004480,Revenue Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005444,4400004480,Riverhead Training Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007161,4400004480,Rodata Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005406,4400004480,Sabai Inc / New Horizons Computer Learning,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004768,4400004480,Sage Technology Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005765,4400004480,Secco Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005762,4400004480,Sentinel Technology Group Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005769,4400004480,Sierra w/o Wireless Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007342,4400004480,Skelly & Loy Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006117,4400004480,Skyline Advanced Technology,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004973,4400004480,Smart Business Advisory & Consulting,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006901,4400004480,Social Solutions Global Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005751,4400004480,South Hills Secretarial School,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006899,4400004480,SRC Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006141,4400004480,Stratix Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006110,4400004480,SymbioSys Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005013,4400004480,Synergis Technologies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004770,4400004480,System Edge (USA) LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004771,4400004480,Target Media Mid Atlantic Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007155,4400004480,Tata America International,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005010,4400004480,Technical Svcs Associates Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006103,4400004480,T3T Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006138,4400004480,TargetSafety.Com Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007156,4400004480,TEAM Informatics Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006612,4400004480,TechnoDyne LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005760,4400004480,Technology Blue Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005428,4400004480,Telesage Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006124,4400004480,The Akanksha LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006134,4400004480,The Presidio Corp,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005430,4400004480,TJL Holding Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006607,4400004480,Tribridge Holdings LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
