code,category_friendly_name,examples,category,parent_category
96500 | 96200,Etching and engraving supplies and services,"Artwork, Camera Ready | Desk Top Publishing Services | Etchings, Copper | Etchings, Zinc, Ben Day Type | Etchings, Zinc or Magnesium Alloy | Graphic Design Services for Printing | Mat Preparation, Stereotype | Negative and Plate Preparation for Offset Printing | Plate Preparation, Color Process | Plate Preparation, Color, Flat Zinc, Magnesium Alloy, or Plastic | Plate Preparation, Copper, Halftone | Plate Preparation, Zinc or Magnesium Alloy, Combination and Halftone and Line | Plate Preparation, Zinc, Halftone | Pre-Press: Color Separations, Composite Film, Stripping, Chromolin or Match-Print Proof, etc. | Etching and Stained Glass Services | Engraving Services; Awards, Trophies, Etc.","PRINTING PREPARATIONS: ETCHING, PHOTOENGRAVING, AND PREPARATION OF MATS, NEGATIVES AND PLATES",Business services
95300 | 91800,Insurance and insurance services,"Accident | Aviation | Boiler | Claims Processing Services | Collision, Automotive | Comprehensive, Automotive | Crime | Disability | Fidelity and Surety | Fire | Flood | Health/Hospitalization (Including Dental and Visual Insurance) | Inland Marine | Insurance and Insurance Services (Not Otherwise Classified) | Liability, Automotive | Liability, General | Liability, Professional | Liability, Public Official/Government | Life | Malpractice, General | Malpractice, Legal | Malpractice, Medical | Property and Casualty | Receiver Services, Special Deputy (Insurance) | Reinsurance Services | Retirement Benefit Plan Insurance | Sports | Title | Unemployment Insurance | Worker's Compensation | Payments from insurance funds | Insurance consulting","INSURANCE, ALL TYPES",Business services
96100 | 91800,Legal services,"Legal Services, Attorneys | Legal Services Including Depositions and Expert Witness Testimony | Legal consulting",,Business services
95800 | 96100 | 91800,Management and management consulting services,"Agricultural Management Services (Not Otherwise Classified) | Airport Management Services | Bio-Solids Management Services | Building and Facilities Management Services | Business Management Services | Cemetery Management Services | Child Care Center Management and Operation Services | Computer Management Services | Conservation/Resource Management Services | Construction Management Services | Corrections Management Services | Crop Management Services (Including Production, Protection, etc.) | Exhibition/Exposition Management Services | Farm Management Services (Including Dairy, Pasture and Range Management) | Financial Management Services | Fishery Management Services (Including Data Collection, Research and Experimentation, Resources Protection, etc.) | Fleet Management Services | Food Management Services (Incl. Hygiene, Contamination, Preservation, Research, etc.) | Forestry Management Services (Including Inventory, Monitoring, Extension, Pest Control, etc.) | Freight Management Services | Fuel Management Services | Health Care Management Services (Including Managed Care Services) | Housekeeping Management Services | Hospital Management Services | Industrial Management Services | Incentive Management Program Services (Safety, etc.) | Insurance and Risk Management Services | Irrigation System Management Services | Janitorial Management Services | Laundry Management Services | Livestock Management and Industry Services | Lottery Management Services | Mental Health/Retardation Management Services (Incl. Operations, Facilities Maintenance, Nursing, Food Service, etc. 24/7 | Support Services, Management | Outsourcing Services for Management, Operation, etc. (Purchasing, etc.) | Orchard and Vineyard Management Services | Parking Management Services | Personnel Management Services | Pipeline Management Services | Project Management Services | Property Management Services | Racing Management Services | Records Management Services | Real Estate Management Services | Soil and Land Management Services (Including Testing, Protection, Preparation, Planning, etc.) | Storage Tank Management Services | Supply Chain Management Services | Telecommunications Management Services | Traffic Safety Program Management Services | Transit Management Services | Travel Management Services | Toll Management Services | Utility Management Services | Waste Management Services | Wildlife/Fish Management Services (Including Endangered Species and Wildlife Census) | Arbitration, Mediation, and Alternative Dispute Resolution Services | Program/Project Development and Management Services | Negotiation Services | Public Speaking Services | Feasibility Studies (Consulting) | Management Consulting | Organizational Development Consulting",MANAGEMENTSERVICES,Business services
71500,Printed and audiovisual materials,"Audio Cassettes, Tapes and Compact Disks (Prerecorded) | Cook and Recipe Books | Books, Directories, Magazines, Pamphlets, Publications, Reprints, etc. | Books, Reference: Dictionaries, Encyclopedias, etc. | Catalog Cards, Library of Congress Type and other Types | Display, Exhibit, and Promotional Materials | Drawings and Diagrams: Dimensional, Technical, etc. | Electronic Publications: Directories, Dictionaries, Encyclopedias, etc. | Filmstrips, Slides, Transparencies, etc. (Prepared) | Pay Telephones | Laboratory Books, Research and Related Materials (DNA, Genomic, etc) | Legal Books and Publications | Manuals: Parts, Personnel, Policy, Purchasing, Training, etc., Not Otherwise Classified | Medical Books and Publications | Microfilm, Microfiche, etc. (Prepared) | Journalistic Services to include page charges for publications | Motion Pictures (See Class 475 for Medical Training Films) | Multimedia Sets (Prepared) | Phonograph Records, Sound Tapes, etc. (Prepared) | Religious Publications and Books | Textbooks, Adult Education | Textbooks, Special Education | Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions) | Textbooks: 6th thru 8th Grade (Includes Student and Teacher Editions) | Textbooks: 9th thru 12th Grade (Includes Student and Teacher Editions) | Textbooks: College Level (Includes Student and Teacher Editions) | Video Cassettes, Disks, Tapes, etc. (For Computer and TV, Prerecorded) | Recycled Publications and Audiovisual Materials","PUBLICATIONS AND AUDIOVISUAL MATERIALS (PREPARED MATERIALS ONLY, NOT EQUIPMENT, SUPPLIES, OR PRODUCTION)",Business services
71500,Printed and audiovisual materials,"Audio Cassettes, Tapes and Compact Disks (Prerecorded) | Cook and Recipe Books | Books, Directories, Magazines, Pamphlets, Publications, Reprints, etc. | Books, Reference: Dictionaries, Encyclopedias, etc. | Catalog Cards, Library of Congress Type and other Types | Display, Exhibit, and Promotional Materials | Drawings and Diagrams: Dimensional, Technical, etc. | Electronic Publications: Directories, Dictionaries, Encyclopedias, etc. | Filmstrips, Slides, Transparencies, etc. (Prepared) | Pay Telephones | Laboratory Books, Research and Related Materials (DNA, Genomic, etc) | Legal Books and Publications | Manuals: Parts, Personnel, Policy, Purchasing, Training, etc., Not Otherwise Classified | Medical Books and Publications | Microfilm, Microfiche, etc. (Prepared) | Journalistic Services to include page charges for publications | Motion Pictures (See Class 475 for Medical Training Films) | Multimedia Sets (Prepared) | Phonograph Records, Sound Tapes, etc. (Prepared) | Religious Publications and Books | Textbooks, Adult Education | Textbooks, Special Education | Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions) | Textbooks: 6th thru 8th Grade (Includes Student and Teacher Editions) | Textbooks: 9th thru 12th Grade (Includes Student and Teacher Editions) | Textbooks: College Level (Includes Student and Teacher Editions) | Video Cassettes, Disks, Tapes, etc. (For Computer and TV, Prerecorded) | Recycled Publications and Audiovisual Materials","PUBLICATIONS AND AUDIOVISUAL MATERIALS (PREPARED MATERIALS ONLY, NOT EQUIPMENT, SUPPLIES, OR PRODUCTION)",Business services
96600 | 96200,Printing and screenprinting services,"Bar Code Printing | Bumper Stickers, etc.: Printed | Business Cards Printed | Card Printing: Tab, Post, Form, etc. | Check Printing | Continuous Form Printing | Copying Services (Reproduction) | Decal Printing | Digital Printing from an Ink Jet Plotter | Electrostatic Printing Services | Engraved and Embossed Awards, Bonds, Certificates, Diplomas, Stationery, etc. | Envelope Printing | Forms Printing (Not Continuous) | Imprinting Services | Intaglio Printing (e.g., The Process by Which U.S. Currency is Printed): Birth Certificates, Car Titles, etc. | Letterheads Printed | Licenses and Back Tags Printing Services (Hunting, Fishing, etc.) | Numbering Services, Printing | Offset Printing, General, Small Press Work (Quan. up to 25,000), One or More Colors, No 4 Color Processes or Large Solids or Close Registration | up to 11 x 17 In.: Brochures, Newsletters, Covers, Posters, etc. | Offset Printing, General, Large Press Work (Quan. up to 100,000) | One or More Colors, No 4 Color Processes or Close Registration Required, Finished Sizes May Exceed 11 x 17 In., May Have Large Solids | Offset Printing, General, Large Production Runs on Large or Web Press (Quan. Over 100,000), One or More Colors, No 4 Color Processes or Close Registration Required, May Exceed 11 x 17 In. and Have Large Solids | Offset Printing, Large Production Runs (Quan. up to 100,000) | 4 Color Process orClose Registration Required: Color Brochures, Maps, etc. | Offset Printing, Large Production Runs (Quan. Over 100,000) | 4 Color Process or Close Registration Required: Color Brochures, Maps, etc. | Offset Printing, Booklets, Saddle Stitch Binding (Quan. Over 100,000): Books andMagazines | Offset Printing, Booklets, Saddle Stitch Binding (Quantities up to 100,000 | 4 Color Process or Tight Registration Required): Books, Magazines, etc. | Offset Printing, Booklets, Saddle Stitch Binding (Quantities over 100,000): Books and Magazines | Offset Printing, Books, Perfect Bound (Quan. up to 10,000) | 4 Color Process Acceptable: College Catalogues, Telephone Books, etc. | Offset Printing, Books, Perfect Bound (Quan. Over 10,000) | 4 Color Process Acceptable | Offset Printing, Custom Bound, Hardback, Leather, etc.: Books | Offset Printing, General, Large Press Work (Quan. up to 100,000) | One or More Colors, Close Registration Required, No 4-Color Processes, Finished Sizes May Exceed 8-1/2 x 11 in., Newsletters, etc. | Offset Printing, General, Large Press Work (Quan. up to 100,000) | One or More Colors, Close Registration Required, No 4-Color Processes, Finished Sizes May Exceed 11 x 17 in., May Have Large Solids | Optical Scanning Form Printing | Paper Cutting, Drilling, Folding, Punching, Shredding, Trimming, etc. | Printing of Annotated Laws, Rules, and Changes from the Legislature, Courts, etc. (Copyrighted) | Publications Printed on Newsprint or Groundwood Paper Stock (Quan. up to 100,000) | Publications Printed on Newsprint or Groundwood Paper Stock (Quan. Over 100,000) | Printing on Recycled Stock | Print-On-Demand Printing Services (Including Print and Distribute Services) | Receipt and Voucher Book Printing | Security Paper, Custom Printed (Quan. Over 100,000) | Silk Screen Printing | Snap-Out Form Printing (See 395-70,80 for Continuous Shelf Items) | Specialty Printing: Die Cutting, Laser, Plastic, Thermography, etc. (Folders, Invitations, Tabs, Binders, etc.) | Tickets, Special Labels and Tapes, Printed (Not Continuous), For Prescription Drugs, etc. (Pressure Sensitive or Dry Gummed Adhesion Flats, Rolls, Tablets, etc.) | Tickets, Special Tags, Printed: Continuous, Gang or Single | Typesetting, Hot Type (Linotype) | Typesetting, Laser | Typesetting, Photocomposition (Cold Type) | Typesetting with Modem Capability | Laminating Services | Ribbons, Re-Inking",PRINTING AND RELATED SERVICES,Business services
96700 | 96100 | 96200,Production and manufacturing services,"Athletic, Sporting, Recreational, Fishing, Hunting, and Camping Equipment Manufacturing Services | Air Conditioning, Heating, and Ventilating Equipment (HVAC) Manufacturing Services | Animal Food Manufacturing Services | Abrasives Manufacturing Services | Aggregate, Concrete or Stone Products | Asbestos Products | Assembly Line Services | Asphalt and Saturated Materials Manufacturing Services | Automotive Equipment and Supply Manufacturing Services | Building Equipment and Supply Manufacturing Services | Computer Hardware and Software Manufacturing Services | Container Manufacturing Services (Boxes, Bottles, Bags, Cans, Pouches, etc.) | Cement, Lime, Plaster or Stucco Products | Classroom and Educational Furnishings and Equipment | Chemical Products (Incl. Biochemical, Petrochemical, etc.) | China, Earthenware or Pottery Products | Clothing (Apparel) and Accessory Manufacturing Services | Communications Equipment Manufacturing Services | Drilling Equipment and Supply Manufacturing Services | Electrical Products | Food Manufacturing Services (Including Beverages) | Fabric and Leather Products | Fertilizer and Soil Conditioner Products | Fiber Products | Furniture Manufacturing and Production Services | Glass Products | Hardware Manufacturing Services | Janitorial Products Manufacturing Services | Leather Manufacturing Services | Machinery, All Types | Metals and Metal Products | Manufacturing Services (Not Otherwise Classified) | Nursery Products and Accessories | Office Equipment and Supply Manufacturing Services | Paper and Pulp Products | Paint, Varnish, Lacquer and Related Products Production Services | Petroleum Products Manufacturing Services (Including Coal, etc) | Pharmaceutical Products (Incl. Drugs and Medicines) | Plastics and Plastic Products (Incl. Fiberglass, Poly, etc.) | Plumbing Equipment, Pipe, Fittings and Fixtures Manufacturing Services | Precision Instruments (Incl. Scientific, Measuring, Medical, Photographic, Optical, Laboratory, etc.) | Prefabricated and Manufactured Buildings or Homes Manufacturing Services | Production Planning and Control | Rubber and Rubber Products | Safety and Security Equipment Manufacturing Services | Semiconductor and Related Equipment Manufacturing Services | Shoe, Boot and Footwear Manufacturing Services, All Kinds | Tobacco Manufacturing and Processing Services | Transport Equipment | Tool Manufacturing Services | Warehouse and Storage Equipment Manufacturing Services | Well Equipment and Supply Manufacturing Services (Oil, Gas, Water, etc.) | Wood and Wood Products | Cryogenic Treatment Services for Metals, Plastics, and Glass | Mining and Quarrying Services | Treatment Services, Material (Anticorrosion, Fire Protection, Waterproofing, etc) | Yarn, Thread, and Related Notions Processing Services | Galvanizing, Hot and Cold Dip; Plating | Heat Treating and Tracing Services (Including Refractory Dryout) | Industrial Services Not Otherwise Classified (Electroplating, etc.) | Installation and Removal Services (Not Otherwise Classified) | Leather Tanning and Finishing Services | Metal Coating Services: Thermal Spray and H.V.O.F. (High Velocity Oxy-Fuel) | Petroleum Production, Transmission, and Distribution Services (Including Drilling, Exploration, Extraction, Natural Gas, LPG Gas, etc.) | Petroleum Refining Services | Purification Services for Contaminated Petroleum Products | Screenings and Grit Removal Services | Silver Recovery Services",PRODUCTION AND MANUFACTURING SERVICES,Business services
98500,"Rental and lease: office, photographic, printing, and telecommunications equipment","Audio/Video Equipment and Accessory Rental or Lease | Copy Machines, Thermal Type, Rental or Lease | Copy Machines (For use by Engineers) Rental or Lease | Copy Machine, Plain Paper Type (Including Cost-Per-Copy Type Leases) Rental or Lease | Copy Machines, Digital and Analog Types, Rental or Lease | Coolers, Drinking Water, Rental or Lease | Duplicating Machines (All Types), Rental or Lease | Filing Systems Rental or Lease | Intercom and Other Sound Equipment Rental or Lease | Library Machine Rental or Lease | Mailing Equipment Including Postage Meter Rental or Lease | Microfiche/Microfilm Equipment and Accessory Rental or Lease | Office Machines, Equipment, and Accessories (All) Rental or Lease | Postal Equipment Rental or Lease (Including Post Office Box Rentals) | Photographic and Recording Equipment Rental or Lease | Plant (Nursery Stock) Leasing Services | Printing Plant Equipment and Supplies Rental or Lease | Radio and Telecommunications Equipment and Accessory Rental or Lease (Including Radio Towers) | Signs, Message Boards and Centers, etc., Rental or Lease | Software, Computer, Rental or Lease | Teleconference Systems Rental or Lease | Telephone Systems and Portable Phones (Including Pagers) Rental or Lease | Television Equipment and Accessories Rental or Lease | Ticket Dispensing and Collection Equipment Rental or Lease | Visual Education Equipment and Supplies Rental or Lease | Voice Mail Systems Rental or Lease | Voting Machine Rental or Lease","RENTAL OR LEASE SERVICES OF EQUIPMENT - OFFICE, PHOTOGRAPHIC, PRINTING, RADIO/TELEVISION/TELEPHONE EQUIPMENT",Business services
99800 | 96100 | 96200,Resale of surplus items services,"Aircraft and Aviation Parts, Equipment | Agriculture Equipment and Commodities | Ammunition, Explosives, and Weapons (Licensed Dealers Only) | Animals and Livestock | Arts and Crafts | Automobile, Truck and Bus Parts and Equipment | Bags, All Types | Barber and Beauty Shop Equipment | Barrels, Drums, Cans, Pails, etc. | Batteries, All Types | Boats and Marine Equipment | Books, All Types (Library, School, etc.) | Builders Supplies | Buses, Transit and School | Cafeteria and Kitchen Equipment (Including Food Service Equipment) | Chemicals, All Types | Clocks, Watches, Timepieces, All Types | Clothing | Communication Equipment (Including Radio, Television, Telephone, VCR, Video/Audio Equipment, etc.) | Computers, Parts and Supplies | Confiscated and Personal Merchandise | Copy Machines | Dairy Equipment | Drugs, First Aid, Veterinary | Equipment, Heavy | Electrical Supplies | Engineering Equipment and Supplies (Including Survey Equipment and Instruments) | Escalators and Elevators | Fertilizer | Fire and Police Equipment (Not Otherwise Classified) | Food | Furniture | Glass | Garbage | Garbage and Refuse Containers | Hardware | Heating, Air Conditioning, Ventilating & Refrigeration Equipment | Highway Equipment (Tractors, Loaders, Graders, Dozers, etc.) | Laboratory Equipment | Laundry Equipment | Library Equipment | Lumber and Pilings | Machinery | Mailing Equipment (Including Shipping Containers) | Medical and Dental Equipment and Supplies | Metal, Scrap | Metals, Precious | Musical Equipment | Metals other than Scrap (All Types) | Office Equipment (Not Copiers) | Oils and Other Petroleum Products, Waste | Paper and Paper Products (Including Boxes) | Photographic Equipment | Parking and Water Meters | Plumbing Equipment and Supplies | Pipe, Valves and Fittings | Public Utility Equipment | Printing Equipment | Rags | Rail Equipment and Accessories | Real Estate (Incl. Buildings, Houses, Land, etc) | Recyclable Materials: Books, Paper, Glass, Metal, etc. | Road and Highway Materials (Including Testing Equipment) | Scales and Weighing Apparatus | School Equipment | Tools, All Types | Sporting Equipment | Traffic Signals and Control Equipment | Tires and Tubes (Including Retreading Material and Equipment) | Vehicles, Including Automobiles, Trucks, Trailers, Vans, Motor Homes, Motorcycles and Scooters, etc. (See 998-20 for Buses) | Welding Equipment | Voting Machines and Other Election Equipment | Reverse Auctions | Auctioneering Services",SALE OF SURPLUS & OBSOLETE ITEMS,Business services
