code,category,parent_category
92600,ENVIRONMENTAL AND ECOLOGICAL SERVICES,Facilities and landscaping supplies and services
92900,"EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - AGRICULTURAL, and HEAVY INDUSTRIAL EQUIPMENT",Facilities and landscaping supplies and services
93100,"EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - APPLIANCE, ATHLETIC, CAFETERIA, FURNITURE, MUSICAL INSTRUMENTS",Facilities and landscaping supplies and services
93400,"EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - LAUNDRY, LAWN, PAINTING, PLUMBING, AND SPRAYING EQUIPMENT",Facilities and landscaping supplies and services
94500,"FISHING, HUNTING, TRAPPING, GAME PROPAGATION, AND RELATED SERVICES",Facilities and landscaping supplies and services
94700,FORESTRY SERVICES,Facilities and landscaping supplies and services
95400,LAUNDRY AND DRY CLEANING SERVICES,Facilities and landscaping supplies and services
96800,PUBLIC WORKS AND RELATED SERVICES,Facilities and landscaping supplies and services
98300,"RENTAL OR LEASE SERVICES OF EQUIPMENT - CLOTHING, JANITORIAL, LAUNDRY, LAWN, PAINTING, SPRAYING, AND TEXTILE EQUIPMENT",Facilities and landscaping supplies and services
98800,"ROADSIDE, GROUNDS, RECREATIONAL AND PARK AREA SERVICES",Facilities and landscaping supplies and services
4500,"APPLIANCES AND EQUIPMENT, HOUSEHOLD TYPE",General Equipment and Services
9000,"BAKERY EQUIPMENT, COMMERCIAL",General Equipment and Services
9500,BARBER AND BEAUTY SHOP EQUIPMENT AND SUPPLIES,General Equipment and Services
10000,"BARRELS, DRUMS, KEGS, AND CONTAINERS",General Equipment and Services
12500,BOOKBINDING SUPPLIES,General Equipment and Services
16500,"CAFETERIA AND KITCHEN EQUIPMENT, COMMERCIAL",General Equipment and Services
19500,"CLOCKS, TIMERS, WATCHES, AND JEWELERS' AND WATCHMAKERS' TOOLS AND EQUIPMENT",General Equipment and Services
22000,"CONTROLLING, INDICATING, MEASURING, MONITORING, AND RECORDING INSTRUMENTS AND SUPPLIES",General Equipment and Services
31500,"EPOXY BASED FORMULATIONS FOR ADHESIVES, COATINGS, AND RELATED AGENTS",General Equipment and Services
31800,FARE COLLECTION EQUIPMENT AND SUPPLIES,General Equipment and Services
32000,"FASTENING, PACKAGING, STRAPPING, TYING EQUIPMENT AND SUPPLIES",General Equipment and Services
32500,"FEED, BEDDING, VITAMINS AND SUPPLEMENTS FOR ANIMALS (SEE CLASS 875 FOR DRUGS AND PHARMACEUTICALS FOR ANIMALS)",General Equipment and Services
35000,"FLAGS, FLAG POLES, BANNERS, AND ACCESSORIES",General Equipment and Services
37000,FOOD PROCESSING AND CANNING EQUIPMENT AND SUPPLIES,General Equipment and Services
40000,"FOUNDRY CASTINGS, EQUIPMENT, AND SUPPLIES",General Equipment and Services
41500,FURNITURE: LABORATORY,General Equipment and Services
42000,"FURNITURE: CAFETERIA, CHAPEL, DORMITORY, HOUSEHOLD, LIBRARY, LOUNGE, SCHOOL",General Equipment and Services
44000,GLASS AND GLAZING SUPPLIES,General Equipment and Services
49000,"LABORATORY EQUIPMENT AND ACCESSORIES (FOR GENERAL ANALYTICAL AND RESEARCH USE): NUCLEAR, OPTICAL, AND PHYSICAL",General Equipment and Services
49500,"LABORATORY AND FIELD EQUIPMENT AND SUPPLIES: BIOLOGY, BOTANY, GEOLOGY, MICROBIOLOGY, ZOOLOGY, ETC.",General Equipment and Services
52000,"LEATHER AND RELATED EQUIPMENT, PRODUCTS, ACCESSORIES, AND SUPPLIES",General Equipment and Services
52500,"LIBRARY AND ARCHIVAL EQUIPMENT, MACHINES, AND SUPPLIES",General Equipment and Services
53000,"LUGGAGE, BRIEF CASES, PURSES AND RELATED ITEMS",General Equipment and Services
55000,"MARKERS, PLAQUES AND TRAFFIC CONTROL DEVICES",General Equipment and Services
55500,MARKING AND STENCILING DEVICES,General Equipment and Services
57500,"MICROFICHE AND MICROFILM EQUIPMENT, ACCESSORIES, AND SUPPLIES",General Equipment and Services
57800,MISCELLANEOUS PRODUCTS,General Equipment and Services
58000,"MUSICAL INSTRUMENTS, ACCESSORIES, AND SUPPLIES",General Equipment and Services
59000,NOTIONS AND RELATED SEWING ACCESSORIES AND SUPPLIES,General Equipment and Services
62500,"OPTICAL EQUIPMENT, ACCESSORIES, AND SUPPLIES",General Equipment and Services
65200,PERSONAL HYGIENE AND GROOMING EQUIPMENT AND SUPPLIES,General Equipment and Services
65500,"PHOTOGRAPHIC EQUIPMENT AND SUPPLIES (NOT INCLUDING GRAPHIC ARTS, MICROFILM, AND X-RAY)",General Equipment and Services
70000,PRINTING PLANT EQUIPMENT AND SUPPLIES (EXCEPT PAPERS),General Equipment and Services
73500,"RAGS, SHOP TOWELS, AND WIPING CLOTHS",General Equipment and Services
74000,REFRIGERATION EQUIPMENT AND ACCESSORIES,General Equipment and Services
78000,SCALES AND WEIGHING APPARATUS (SEE 175-08 FOR LABORATORY BALANCES),General Equipment and Services
78500,SCHOOL EQUIPMENT AND SUPPLIES,General Equipment and Services
79500,"SEWING ROOM AND TEXTILE MACHINERY, AND ACCESSORIES",General Equipment and Services
80100,"SIGNS, SIGN MATERIALS, SIGN MAKING EQUIPMENT, AND RELATED SUPPLIES",General Equipment and Services
81000,"SPRAYING EQUIPMENT (EXCEPT HOUSEHOLD, NURSERY PLANT, AND PAINT)",General Equipment and Services
82500,STOCKMAN EQUIPMENT AND SUPPLIES,General Equipment and Services
83200,"TAPE (NOT DATA PROCESSING, MEASURING, OPTICAL, SEWING, SOUND, OR VIDEO)",General Equipment and Services
84500,TESTING APPARATUS AND INSTRUMENTS (NOT FOR ELECTRICAL OR ELECTRONIC MEASUREMENTS),General Equipment and Services
85000,"TEXTILES, FIBERS, HOUSEHOLD LINENS, AND PIECE GOODS",General Equipment and Services
86400,"TRAIN CONTROLS, ELECTRONIC",General Equipment and Services
86500,TWINE,General Equipment and Services
87000,"VENETIAN BLINDS, AWNINGS, AND SHADES",General Equipment and Services
87500,VETERINARY EQUIPMENT AND SUPPLIES (SEE CLASS 325 FOR VITAMINS AND SUPPLEMENTS FOR ANIMALS),General Equipment and Services
88000,VISUAL EDUCATION EQUIPMENT AND SUPPLIES (EXCEPT PROJECTION LAMPS -SEE CLASS 285),General Equipment and Services
90500,AIRCRAFT AND AIRPORT OPERATIONS SERVICES,General Equipment and Services
90800,"BOOKBINDING, REBINDING, AND REPAIRING",General Equipment and Services
92400,EDUCATIONAL SERVICES,General Equipment and Services
93600,"EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - GENERAL EQUIPMENT",General Equipment and Services
94500,"FISHING, HUNTING, TRAPPING, GAME PROPAGATION, AND RELATED SERVICES",General Equipment and Services
95600,"LIBRARY SERVICES (SEE CLASS 908 FOR BOOKBINDING, REBINDING, AND REPAIRING)",General Equipment and Services
96500,"PRINTING PREPARATIONS: ETCHING, PHOTOENGRAVING, AND PREPARATION OF MATS, NEGATIVES AND PLATES",General Equipment and Services
97100,REAL PROPERTY RENTAL OR LEASE,General Equipment and Services
97700,"RENTAL OR LEASE SERVICES OF EQUIPMENT - APPLIANCES, CAFETERIA, FILM, FURNITURE, HARDWARE, MUSICAL, SEWING, AND WINDOW AND FLOOR COVERINGS",General Equipment and Services
98100,RENTAL OR LEASE OF EQUIPMENT - GENERAL EQUIPMENT,General Equipment and Services
98900,SAMPLING AND SAMPLE PREPARATION SERVICES (FOR TESTING),General Equipment and Services
99800,SALE OF SURPLUS and OBSOLETE ITEMS,General Equipment and Services
3500,"AIRCRAFT AND AIRPORT EQUIPMENT, PARTS, AND SUPPLIES",Heavy equipment and vehicles
5500,"AUTOMOTIVE ACCESSORIES FOR AUTOMOBILES, BUSES, TRAILERS, TRUCKS, ETC.",Heavy equipment and vehicles
6000,AUTOMOTIVE AND TRAILER MAINTENANCE ITEMS AND REPAIR/REPLACEMENT PARTS,Heavy equipment and vehicles
6500,"AUTOMOTIVE AND TRAILER BODIES, ACCESSORIES, AND PARTS",Heavy equipment and vehicles
7000,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (INCLUDING TRAILERS),Heavy equipment and vehicles
7500,AUTOMOTIVE SHOP EQUIPMENT AND SUPPLIES,Heavy equipment and vehicles
10500,BEARINGS (EXCEPT WHEEL BEARINGS AND SEALS -SEE CLASS 060),Heavy equipment and vehicles
11000,BELTS AND BELTING: AUTOMOTIVE AND INDUSTRIAL,Heavy equipment and vehicles
12000,"BOATS, MOTORS, AND MARINE AND WILDLIFE SUPPLIES",Heavy equipment and vehicles
40500,"FUEL, OIL, GREASE AND LUBRICANTS",Heavy equipment and vehicles
54000,LUMBER AND RELATED PRODUCTS,Heavy equipment and vehicles
54500,"MACHINERY AND HARDWARE, INDUSTRIAL",Heavy equipment and vehicles
55600,MASS TRANSPORTATION - TRANSIT BUS,Heavy equipment and vehicles
55700,MASS TRANSPORTATION - TRANSIT BUS ACCESSORIES AND PARTS,Heavy equipment and vehicles
55800,MASS TRANSPORTATION - RAIL VEHICLES AND SYSTEMS,Heavy equipment and vehicles
55900,MASS TRANSPORTATION - RAIL VEHICLE PARTS AND ACCESSORIES,Heavy equipment and vehicles
69000,"POWER GENERATION EQUIPMENT, ACCESSORIES, AND SUPPLIES",Heavy equipment and vehicles
69100,"POWER TRANSMISSION EQUIPMENT - ELECTRICAL, MECHANICAL, AIR AND HYDRAULIC",Heavy equipment and vehicles
72000,PUMPING EQUIPMENT AND ACCESSORIES,Heavy equipment and vehicles
78000,SCALES AND WEIGHING APPARATUS (SEE 175-08 FOR LABORATORY BALANCES),Heavy equipment and vehicles
86300,TIRES AND TUBES,Heavy equipment and vehicles
92800,"EQUIPMENT MAINTENANCE, RECONDITIONING AND REPAIR SERVICES FOR AUTOMOBILES, TRUCKS, TRAILERS, TRANSIT BUSES AND OTHER VEHICLES",Heavy equipment and vehicles
92900,"EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - AGRICULTURAL, and HEAVY INDUSTRIAL EQUIPMENT",Heavy equipment and vehicles
93400,"EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - LAUNDRY, LAWN, PAINTING, PLUMBING, AND SPRAYING EQUIPMENT",Heavy equipment and vehicles
97500,"RENTAL OR LEASE SERVICES OF EQUIPMENT - AGRICULTURAL, AIRCRAFT, AUTOMOTIVE, HEAVY EQUIPMENT, AND MARINE EQUIPMENT",Heavy equipment and vehicles
99200,TESTING AND CALIBRATION SERVICES,Heavy equipment and vehicles
34500,FIRST AID AND SAFETY EQUIPMENT AND SUPPLIES (EXCEPT NUCLEAR AND WELDING),Medical Supplies and Services
99000,"SECURITY, FIRE, SAFETY, AND EMERGENCY SERVICES",Medical Supplies and Services
19300,"CLINICAL LABORATORY REAGENTS AND TESTS (BLOOD GROUPING, DIAGNOSTIC, DRUG MONITORING, ETC.)",Medical Supplies and Services
26900,DRUGS AND PHARMACEUTICALS,Medical Supplies and Services
27100,"DRUGS, PHARMACEUTICALS, AND SETS (FOR LARGE-VOLUME PARENTERAL ADMINISTRATION, INFUSION, IRRIGATION, AND TUBE FEEDING)",Medical Supplies and Services
41000,FURNITURE: HEALTH CARE AND HOSPITAL FACILITY,Medical Supplies and Services
43000,"GASES, CONTAINERS, EQUIPMENT: LABORATORY, MEDICAL, AND WELDING",Medical Supplies and Services
43500,"GERMICIDES, CLEANERS, AND RELATED SANITATION PRODUCTS FOR HEALTH CARE PERSONNEL",Medical Supplies and Services
46500,"HOSPITAL AND SURGICAL EQUIPMENT, INSTRUMENTS, AND SUPPLIES",Medical Supplies and Services
47000,"HOSPITAL HANDICAP AND RELATED SPECIALIZED EQUIPMENT AND SUPPLIES: MOBILITY, SPEECH IMPAIRED, AND RESTRAINT ITEMS",Medical Supplies and Services
47500,"HOSPITAL, SURGICAL, AND RELATED MEDICAL ACCESSORIES AND SUNDRY ITEMS",Medical Supplies and Services
71000,"PROSTHETIC DEVICES, HEARING AIDS, AUDITORY TESTING EQUIPMENT, ELECTRONIC READING DEVICES, ETC.",Medical Supplies and Services
89800,X-RAY AND OTHER RADIOLOGICAL EQUIPMENT AND SUPPLIES (MEDICAL),Medical Supplies and Services
93800,"EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - HOSPITAL, LABORATORY, AND TESTING EQUIPMENT",Medical Supplies and Services
94800,HEALTH RELATED SERVICES (FOR HUMAN SERVICES SEE CLASS 952),Medical Supplies and Services
1500,"ADDRESSING, COPYING, MIMEOGRAPH, AND SPIRIT DUPLICATING MACHINE SUPPLIES: CHEMICALS, INKS, PAPER, ETC.",Office supplies and furniture
5000,ART EQUIPMENT AND SUPPLIES,Office supplies and furniture
26500,"DRAPERIES, CURTAINS, AND UPHOLSTERY MATERIAL (INCLUDING AUTOMOBILE)",Office supplies and furniture
31000,"ENVELOPES, PLAIN OR PRINTED",Office supplies and furniture
39500,"FORMS, CONTINUOUS: COMPUTER PAPER, FORM LABELS, SNAP-OUT FORMS, AND FOLDERS FOR FORMS",Office supplies and furniture
42500,FURNITURE: OFFICE,Office supplies and furniture
60000,"OFFICE MACHINES, EQUIPMENT, AND ACCESSORIES",Office supplies and furniture
