TYPE OF CONTRACT,CONTRACT,PA,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
County,6719,EP,JEFFERSON HILLS LAWN EQUIPMENT,"PARTS: HEAVY EQUIPMENT, LANDSCAPING EQUIPMENT, SMALL EQUIPMENT, ETC.",2014-12-30,49643,902 GILL HALL ROAD,"JEFFERSON HILLS, PA 15025",JeffersonHills@verizon.net,Patrick Prosser,412-655-2279,412-655-8640,
County,6719,EP,"KRIGGER AND COMPANY, INC.","PARTS: HEAVY EQUIPMENT, LANDSCAPING EQUIPMENT, SMALL EQUIPMENT, ETC.",2014-12-30,49644,4360 GIBSONIA ROAD,"GIBSONIA, PA 15044-1427",timfitz@krigger.com,Timothy Fitzgerald,724-444-5744,724-444-1027,
County,6749,PR,CONTINENTAL FLOORING,CONSTRUCTION MAT'LS./ BLDG. SUPPLIES,2014-09-30,49666,,,,,,,
County,6749,PR,A.G. MAURO,CONSTRUCTION MAT'LS./ BLDG. SUPPLIES,2014-09-30,49665,,,,,,,
County,6751,PR,SARGENT ELECTRIC,F/I/REPAIR:TRAFFIC SIGNAL EQUIPMENT (CD),2014-12-31,49660,,,,,,,
County,6753,EP,PUGLIANO CONSTRUCTION,GEN'L REHAB/REPAIR/RENO VARIOUS- CD,2014-12-31,49545,2000 SHEENA DRIVE,"PITTSBURGH, PA 15239",deana@puglianoconstruction.com,Angelo Pugliano,412-798-9700,412-798-4500,
County,6760,WC,"E-LOOP, LLC",E-WASTE RECYCLING,2015-05-31,50980,,,,,,,
County,6765,PR,NORTH EASTERN UNIFORMS,UNIFORMS 2012-2014 (POLICE),2015-02-28,49668,3050 SMALLMAN STREET,"PITTSBURGH, PA 15201",gkenny@neuniforms.com,George Kenny,412-261-9606,,
County,6767,EP,DQE COMMUNICATIONS,"FIBER OPTIC CONNECTIONS SERVICES, ETC.",2014-12-31,49612,424 SOUTH 27TH. STREET SUITE 220,"PITTSBURGH, PA 15203",lwilliams@dqe.com,Lisa Williams,412-393-1089,412-393-5680,
County,6770,EP,FLETCHER SALES,"PARTS: HEAVY EQUIPMENT, LANDSCAPING EQUIPMENT, SMALL EQUIPMENT, ETC.",2014-12-30,49646,315 FLETCHER LANE,"GREENSBURG, PA 15601",fletchersales@comcast.net,Frank Fletcher,724-837-8156,724-834-5277,
County,6801,PR,"ALLIED WASTE SYSTEMS OF PA, LLC",MUNICIPAL WASTE ROLL OFF WASTE CONTAINERS,2015-12-30,49675,73A W.NOBLESTOWN ROAD,"CARNEGIE, PA 15106",sargiro@republicservices.com,Scott Argiro,412-505-1012,412-249-2016,
County,6802,PR,PLAVCHAK,REPAIR/ RENOVATE: BALLFIELDS,2014-12-31,49731,,,,,,,
County,6842,PR,GEORGE M HALL COMPANY,CONSTRUCTION MAT'LS./ BLDG. SUPPLIES,2014-10-31,49798,1035 FOREST AVENUE,"WEST HOMESTEAD, PA 15120",Sales@georgemhallco.com,Bill Kennedy,412-461-1168,412-461-2436,
County,6851,EP,PHILIPS HEALTHCARE,PHILIPS HEART START MONITOR,2015-09-09,50093,3000 MINUTEMEN ROAD,"ANDOVER, MA 01810",tom.ciranna@philips.com,Thomas Ciranna,216-780-6753,800-947-3299,
County,6852,EP,KEYSTONE COMMERCIAL SERVICES,CLEANING OF SENIOR CENTERS AND COMMUNITY CENTERS,2014-12-31,49805,123 UNION AVENUE,"PITTSBURGH, PA 15205",keystonenemes@gmail.com,James Paolino,412-728-2032,no fax# given,
County,6854,WC,TASER INTERNATIONAL,SOLE SOURCE CONTRACT WITH TASER,2017-06-30,49774,11512 CLEMATIS BLVD,"PITTSBURGH, PA 51235",sddwhite@comcast.net,Thomas White,412-759-6362,412-371-6331,
County,6861,EP,DQE COMMUNICATIONS,INTERNET CONNECTION SERVICES,2014-12-31,50018,5000 TURTLE CROSSING,"DUBLIN, OH 43016",customerservice@boundtree.com,Cathy Taynor,800-533-0523,800-257-5713,
County,6862,EP,MIDWEST MEDICAL SUPPLY,DISPOSABLE MEDICAL SUPPLIES,2014-12-31,49974,1150 SECOND AVENUE,"NEW KENSINGTON, PA 15068",CMathews@Unifirst.com,Charles Matthews Jr.,724-339-1077,724-337-1849,
County,6862,EP,EVER READY FIRST AID,DISPOSABLE MEDICAL SUPPLIES,2014-12-31,49974,PO BOX 3227,"IRMO, SC 29063",jesse.garriniger@henryschein.com,Jesse Garringer,800-845-3550,800-533-4793,
County,6862,EP,HENRY SCHEIN EMS,DISPOSABLE MEDICAL SUPPLIES,2014-12-31,49974,13400 LAKEFRONT DRIVE,EARTH CITY MO,joann.rudd@mmsmedical.com,Joann Rudd,386-252-9960,314-291-2998,
County,6862,EP,"BOUND TREE MEDICAL, LLC",DISPOSABLE MEDICAL SUPPLIES,2014-12-31,49974,101-01 FOSTER AVENUE,"BROOKLYN, NY 11236",mweber@everreadygroup.com,Miri Weber,718-495-4600,800-325-4655,
County,6864,PR,WHITEY'S MOBILE WASH,"WASHING: REFUSE TRUCKS, ETC.",2015-05-31,49795,40 BERRY ROAD,"WASHINGTON, PA 15301",azjanitorial@hotmail.com,Ed Agnew,724-222-1710,724-222-2096,
County,6866,PR,UNIFIRST CORPORATION,"UNIFORM & LAUNDRY SERVICES,ETC.",2017-03-31,49814,,,,,,,
County,6867,PR,VAUGHAN CONTRACTING,WATERPROOFING &ROOFING REPAIRS - CD AREAS,2014-07-31,49989,4301 IRVINE ST,"PITTSBURGH, PA 15207",patty@alleghenyfence.com,Craig Nayhouse,412-421-6005,412-421-1734,
County,6874,PR,ALLEGHENY FENCE CONSTRUCTION,"FENCING INSTALLATION, REPAIRS, ETC. (CD)",2015-06-30,50083,4301 IRVINE ST,"PITTSBURGH, PA 15207",patty@alleghenyfence.com,Craig Nayhouse,412-421-6005,412-421-1734,
County,6876,EP,"OSBURN ASSOCIATES, INC.",REFLECTIVE SHEETING FOR SIGNS,2015-06-30,49924,PO BOX 912,"LOGAN, OH 43138",amanda@osburnsigns.com,Amanda Boggs,800-523-8917,740-385-8016,
County,6876,EP,3M COMPANY,REFLECTIVE SHEETING FOR SIGNS,2015-06-30,49923,PO BOX 912,"LOGAN, OH 43138",amanda@osburnsigns.com,Amanda Boggs,800-523-8917,740-385-8016,
County,6876,EP,U.S. MUNICIPAL SUPPLY,REFLECTIVE SHEETING FOR SIGNS,2015-06-30,49925,"PO BOX 574, 10583 RAYSTOWN ROAD","HUNTINGDON, PA 16652",sje@usmuni.com,Steven Eglar,412-977-2834,412-207-8470,
County,6877,PR,ALLEGHENY CITY ELECTRIC,STREET LIGHTING SERVICES (CD AREAS),2015-06-30,49781,1139 WOODLAND AVENUE,"PITTSBURGH, PA 15212",mjs@alleghenycityelectric.com,Michael Septak,412-734-0818,412-766-8767,
County,6880,EP,EASTERN MEDICAL EQUIPMENT,MEDICAL OXYGEN CYLINDERS,2015-07-12,49856,PO BOX 5264,"POLAND, OH 44514",dave@eastern-medical.com,David Logero,800-327-3210,330-953-1831,
County,6882,WC,STAPLES ADVANTAGE,OFFICE AND CLASSROOM SUPPLIES & ACCESSORIES,2015-07-31,49725,"ROBINSON PLAZA TWO, STE. 400, PARK MANOR DR","PITTSBURGH, PA 15205",dave.bleil@staples.com,Dave Bleil,412-505-1615,412-505-1601,
County,6888,PR,HPP DRIVELINE,REPAIR/ REBUILD: DIESEL ENGINES,2015-06-30,49990,,,,,,,
County,6908,PR,ALLIED COMMUN8ICATIONS,GPS TRACKING SERVICES FOR FLEET,2015-06-30,50116,912 PITTSBURGH ROAD,"BUTLER, PA 16002",rberglund@ibistek.com,Rachel Berglund,724-431-3063,724-431-4361,
County,6937,WC,BBL FLEET,VEHICLE LEASING,2015-12-31,50415,,,,,,,
County,6939,EP,STERLING PAPER CO.,ENVELOPES AND CUT SHEET PAPER,2015-01-31,50050,PO BOX 313,"ALLISON PARK, PA 15101",servicemasterkellys@yahoo.com,Colleen M. Kelly,412-444-0800,412-444-0891,
County,6939,EP,XPEDX,ENVELOPES AND CUT SHEET PAPER,2015-01-31,50051,2020 NEW BEAVER AVENUE,"PITTSBURGH, PA 15203",anthony.kleb1@ipaper.com,Tony Kleb,304-282-4776,,
County,6940,WC,SAFEWARE AND MALLORY,PUBLIC SAFETY & EMERGENCY PREPAREDNESS,2016-09-30,49886,3200 HUBBARD ROAD,"LANDOVER, MD 20785",dhalterman@safewareinc.com,Darryl Halterman,888-331-6707,,
County,6941,EP,CHEMUNG SUPPLY CORP.,PARTS: SALT SPREADERS & PLOWS,2015-03-31,50010,PO BOX 527,"ELMIRA, NY 14902",cperine@yahoo.com,Carl H. Perine,607-732-5379,607-732-5379,
County,6941,EP,"SABRE EQUIPMENT, INC.",PARTS: SALT SPREADERS & PLOWS,2015-03-31,50010,802 PENNSYLVANIA AVENUE,"CORAOPOLIS, PA 15108",sstiffler@sabreequipment.com,Sandy Stiffler,412-262-3080,412 262 2779,
County,6941,EP,U.S. MUNICIPAL SUPPLY,PARTS: SALT SPREADERS & PLOWS,2015-03-31,50010,"PO BOX 574, 10583 RAYSTOWN ROAD","HUNTINGDON, PA 16652",sje@usmuni.com,Steven Eglar,412-977-2834,412-207-8470,
County,6943,EP,TRAFFIC PARTS,GENUINE PARTS - TRAFFIC SIGNAL EQUIPMENT,2015-02-28,50107,PO BOX 837,"SPRING, TX 77383",arthur@trafficparts.com,Arthur Posey,800-345-6329,281-292-0088,
County,6943,EP,TRAFFIC CONTROL PRODUCTS,GENUINE PARTS - TRAFFIC SIGNAL EQUIPMENT,2015-02-28,50106,4565 GLENBROOK ROAD,"WILLOUGHBY, OH 44094",cd@traffcon.com,Ester Booth,440-951-8929,440-951-8203,
County,6943,EP,GENERAL TRAFFIC EQUIPMENT,GENUINE PARTS - TRAFFIC SIGNAL EQUIPMENT,2015-02-28,50103,259 BROADWAY,"NEWBURGH, NY 12550",rays@generaltrafficequip.ocm,Raymond Staffon,845-569-9000,845-569-1800,
County,6943,EP,"PATH MASTER, INC.",GENUINE PARTS - TRAFFIC SIGNAL EQUIPMENT,2015-02-28,50104,1960 MIDWAY DRIVE,"TWINSBURG, OH 44087",rsinko@pathmasterinc.com,Ron Sinko,330-425-4494,330-425-9338,
County,6943,EP,"SIGNAL SERVICE, INC.",GENUINE PARTS - TRAFFIC SIGNAL EQUIPMENT,2015-02-28,50105,1020 ANDREW DRIVE,"WEST CHESTER, PA 19380",bconrad@signalservice.com,William Conrad,610-429-8073,610-429-8076,
County,6951,EP,"AUTOMATED ENTRANCE SYSTEMS COMPANY, INC.",AUTOMATIC DOOR MAINTENANCE JOHN J. KANE REGIONAL CENTERS,2015-12-31,50034,313 ARCHIE STREET,"OAKMONT, PA 15139",bsadler@automated-entrance.com,Bruce Sadler,800-966-6736,412-828-5435,
County,6965,EP,CHEMUNG SUPPLY CORP.,"SIGN POST, SQUARE TUBES, BRACKETS, ETC.",2014-12-14,50112,PO BOX 527,"ELMIRA, NY 14902",cperine@yahoo.com,Carl H. Perine,607-732-5379,607-732-5379,
County,6965,EP,"PATH MASTER, INC.","SIGN POST, SQUARE TUBES, BRACKETS, ETC.",2014-12-14,50112,1960 MIDWAY DRIVE,"TWINSBURG, OH 44087",rsinko@pathmasterinc.com,Ron Sinko,330-425-4494,330-425-9338,
County,6965,EP,U.S. MUNICIPAL SUPPLY,"SIGN POST, SQUARE TUBES, BRACKETS, ETC.",2014-12-14,50112,"PO BOX 574, 10583 RAYSTOWN ROAD","HUNTINGDON, PA 16652",sje@usmuni.com,Steven Eglar,412-977-2834,412-207-8470,
County,6969,WC,"ALLIED WASTE SYSTEMS OF PA, LLC",DISPOSAL OF MUNICIPAL SOLID WASTE,2016-02-28,50097,PO BOX 180 STEINER BRIDGE ROAD,"VALENCIA, PA 16059",fjzii@fjzottola.com,Frank Zottola II,724-898-1070,724-898-1070,
County,6969,WC,"WASTE MANGEMENT OF PA, INC",DISPOSAL OF MUNICIPAL SOLID WASTE,2016-02-28,50096,"11 BOGGS ROAD, PO BOX 47","IMPERIAL, PA 15126",jmcgoran@republicservices.com,John McGoran,724-695-4414,,
County,6972,EP,"FRANK ZOTTOLA CONSTRUCTION, INC","RENOVATION, REPLACEMENT OF BRICK ROADWAYS AND CROSS WALKS, ETC. CENTRAL BUSINESS DISTRICT",2015-12-31,50118,"PO BOX 180, STEINER BRIDGE","VALENCIA, PA 16060",fjzii@fjzottola.com,Frank Zottola II,724-898-1070,724-898-2610,
County,6976,EP,CILENTI CONSTRUCTION CO.,"MAINTENANCE REPAIR STEPS STAIRWAYS, ETC. (CD)",2015-12-31,50110,121 SQUAW RUN ROAD,"PITTSBURGH, PA 15238",cilenticonstruction@verizon.net,Angelo Cilenti,412-782-4464,412-782-4355,
County,6977,EP,"ROCAL, INCORPORATED",WAYFINDER SIGNAGE SYSTEM: MATERIALS III,2014-12-31,50108,3186 COUNTY ROAD 550,"FRANKFORT, OH 45628",tsellers@rocal.com,Teri Sellers,412-798-3881,412-798-3886,
County,6978,EP,PHASE ONE DEVELOPMENT CORPORATION,ASBESTOS AND HAZARDOUS MATERIAL REMOVAL,2015-12-31,50113,137 MONICA DRIVE,"PITTSBURGH, PA 15239",podcorp@comcast.net,Steve Cioppa,412-798-3881,412-798-3886,
County,6981,EP,"MICHAEL FACCHIANO CONTRACTING, INC.",STRUCTURE MAINTENANCE AND REPAIR SERVICE III (CD),2015-01-31,50111,801 MCNEILLY ROAD,"PITTSBURGH, PA 15226",mfacch@michaelfacchianocontracting.com,Michael A. Facchiano,412-344-5503,412-344-8913,
County,6984,EP,BENTLEY TREE CARE,PRUNING AND REMOVAL OF TREES IN CD AREAS ONLY,2015-03-31,50169,9353 ROUTE 20,"RIPLEY, NY 14775",taylortree@wny.twcbc.com,Ami Cook,716-736-3963,716-736-2630,
County,6987,EP,"SWANK CONSTRUCTION COMPANY, LLC",ASPHALT AND CONCRETE MILLING (CD),2014-12-31,50109,632 HUNT VALLEY ROAD,"NEW KENSINGTON, PA 15068",ronhags@swankco.com,Ron Hags,724-335-6000,724-335-3834,
County,6998,EP,CENTRAL POLY CORP.,LINERS II,2014-11-30,50353,114 BRACKEN ROAD,"MONTGOMERY, NY 12549",interboro2@frontiernet.net,Abraham Jeremias,845-457-2700,845-457-1927,
County,6998,EP,INTERBORO PACKAGING CORP.,LINERS II,2014-11-30,50250,2400 BEDLE PLACE,"LINDEN, NJ 07036-4236",bids@centralpoly.com,Andrew Hoffer,908-862-7570,908-862-9019,
County,6999,EP,"COSTA CONTRACTING, INC.","RENOVATION/REPLACEMENT OF CONCRETE SIDEWALKS AND VARIOUS OTHER CONCRETE WORK, ETC. NONCD",2014-12-31,50127,347 LEFEVER HILL ROAD,"CHESWICK, PA 15024",domenic@costacontracting.com,Domenic Costa,724-265-4388,724-265-0077,
County,7004,PR,INTELLIGENT SYSTEMS,INSPECT/ MAINTAIN: FIRE PROTECTION SYS.,2014-12-31,50163,220 W.KENSINGER DR. STE. 400,"CRANBERRY TWP., PA. 16066",eposa@simplexgrinnell.com,Emilio Posa,412-445-2102,724-772-2667,
County,7004,PR,SIMPLEX GRINNELL,INSPECT/ MAINTAIN: FIRE PROTECTION SYS.,2014-12-31,50163,,,,,,,
County,7005,PR,COMPLETE VENDING,COIN OPERATED VENDING MACHINES,2014-12-31,50124,4110 DAVISON STREET,"PITTSBURGH, PA 15201",complete@nauticom.net,John G. Balsamico,412-687-2121,412 687 2123,
County,7010,EP,SABRE EQUIP.,ST.SWEEPER VEHICLE MAINTENANCE,2015-12-31,50227,802 PENNSYLVANIA AVENUE,"CORAOPOLIS, PA 15108",sstiffler@sabreequipment.com,Sandy Stiffler,412 262 3080,412-262-2779,
County,7011,PR,ALLEGHENY CITY ELECTRICAL,ELECTRICAL MAINTENANCE/REPAIR (CD),2015-02-28,50153,1139 WOODLAND AVENUE,"PITTSBURGH, PA 15212",mjs@alleghenycityelectric.com,Michael Septak,412-734-0818,412-766-8767,
County,7015,EP,XPEDX,PAPER AND PLASTIC DINNERWARE,2014-12-31,50539,2020 NEW BEAVER AVENUE,"PITTSBURGH, PA 15203",anthony.kleb1@ipaper.com,Tony Kleb,304-282-4776,,
County,7020,WC,RENOSYS,FURNISH/INSTALL PVC SWIMMING POOL LINERS,2016-02-28,50165,2825 55th PLACE,"INDIANAPOLIS, IN 46220",mikec@renosys.com,Michael Comstock,317-251-0207,317-251-0360,
County,7021,PR,MIDWEST PRESORT,MAILING SERVICES,2014-12-31,50202,1235 SPRING GARDEN AVENUE,"PITTSBURGH, PA 15212",jrichter@mon-direct.com,James Richter,412-322-7100,412-322-9310,
County,7022,EP,"A. FOLINO CONSTRUCTION, INC.","PAVERLAID HOT MIX PAVING, ETC. CD AREAS",2015-02-28,50117,PO BOX 11179,"OAKMONT, PA 15139",sgross@folino.com,Scott Gross,412-820-2800,412-820-2808,
County,7025,EP,"INVASIVE PLANT CONTROL, INC.","CHEMICAL AND MANUAL WEED CONTROL SERVICES, ETC.",2015-03-31,50185,PO BOX 50556,"NASHVILLE, TN 37205",steve@ipc-inc.org,Steven Manning,615-969-1309,,
County,7025,EP,ORKIN PEST CONTROL SERVICES,"CHEMICAL AND MANUAL WEED CONTROL SERVICES, ETC.",2015-03-31,50184,255 MILLERS RUN ROAD,"BRIDGEVILLE, PA 15017",tscott4@orkin.com,Thomas Scott,412-257-4127,412-257-4418,
County,7032,WC,ZEP SALES AND SERVICE,"JANITORIAL SUPPLIES, EQUIP, MAINT. & REPAIR",2015-11-30,50064,,,Scott.Santomo@zep.com,Scott Santomo,412-761-7635,412-741-9717,
County,7034,EP,"COSTA CONTRACTING, INC.","REPAIR & RENOVATION FOR CONCRETE PAVEMENT, SLABS, CURBS, ETC. (CD)",2015-03-31,50167,347 LEFEVER HILL ROAD,"CHESWICK, PA 15024",domenic@costacontracting.com,Domenic Costa,724-265-4388,724-265-0077,
County,7035,EP,CILENTI CONSTRUCTION CO.,REPAIRS TO BLOCKSTONE & BRICK PAVING (CD),2015-03-31,50186,121 SQUAW RUN ROAD,"PITTSBURGH, PA 15238",cilenticonstruction@verizon.net,Angelo Cilenti,412-782-4464,412-782-4355,
County,7036,EP,PUGLIANO CONSTRUCTION,MODULAR BLOCK WALL SYSTEM CONST. (CD),2015-12-31,50168,2000 SHEENA DRIVE,"PITTSBURGH, PA 15239",deana@puglianoconstruction.com,Angelo Pugliano,412-798-9700,412-798-4500,
County,7037,EP,N. GLANTZ & SON LLC,PLOTTER MATERIALS AND INKS,2015-02-28,50170,650 SECO ROAD,"MONROEVILLE, PA 15146",mmiller@nglantz.com,Maria Miller,412-372-8110,412-372-8475,
County,7040,EP,"QUADMED, INC.",DISPOSAL MEDICAL SUPPLIES HARDWARE,2015-03-31,50263,11210-1 PHILIPS INDUSTRIAL BLVD,"JACKSONVILLE, FL 32256",ryan@quadmed.com,Aaron Pratt,904-880-2323,904-880-2303,
County,7040,EP,FERNO WASHINGTON,DISPOSAL MEDICAL SUPPLIES HARDWARE,2015-03-31,50263,70 WEIL WAY,"WILMINGTON, OH 45177",contracts@ferno.com,Becky Jenkins,800-733-3766,937-283-3622,
County,7040,EP,"BOUND TREE MEDICAL, LLC",DISPOSAL MEDICAL SUPPLIES HARDWARE,2015-03-31,50263,5000 TUTTLE CROSSING BLVD,"DUBLIN, OH 43016",bmoore@boundtree.com,Bethany Moore,800-533-0523,877-311-2437,
County,7040,EP,MED CARE EQUIPMENT COMPANY,DISPOSAL MEDICAL SUPPLIES HARDWARE,2015-03-31,50263,501 WEST OTTERMAN STREET,"GREENSBURG, PA 15601",ckenderdine@excelahealth.org,Chad Kenderdine,724-640-2810,724-850-6995,
County,7040,EP,"HENRY SCHEIN, INC.",DISPOSAL MEDICAL SUPPLIES HARDWARE,2015-03-31,50263,135 DURYEA ROAD E 270,"MELVILLE, NY 11784",biddept@henryschein.com,Joanne Viggiano,800-851-0400,866-738-8999,
County,7040,EP,MIDWEST MEDICAL SUPPLY,DISPOSAL MEDICAL SUPPLIES HARDWARE,2015-03-31,50263,13400 LAKEFRONT DRIVE,"EARTH CITY, MO 63045",Julia.onesto@MMSMedical.com,Julia Onesto,386-252-9960,386-252-9961,
County,7041,WC,AMSAN,"CLEANING SUPPLIES, EQUIPMENT, SERVICES, ETC.",2015-12-31,50123,73A W.NOBLESTOWN ROAD,"CARNEGIE,PA.. 15106",sargiro@republicservices.com,Scott Argiro,412-505-1012,412-249-2016,
County,7044,PR,"ALLIED WASTE SYSTEMS OF PA, LLC","RENTAL REFUSE COMPACTORS, ETC.",2018-05-31,50249,1014 COPPORATE LANE,"EXPORT, PA 15632",kim@keystoneturf.com,Mark Kenyhercz,724-733-0829,724-733-0926,
County,7053,WC,POST GAZETTE PUBLISHING COMPANY,CLASSIFIED / LEGAL ADVERTISING,2015-05-31,50322,34 BOULEVARD OF THE ALLIES,"PITTSBURGH, PA 15222",,D. Midgley / M. Lucci,,412-263-1404,
County,7053,WC,TRIB TOTAL MEDIA,CLASSIFIED / LEGAL ADVERTISING,2015-05-31,50322,"503 MARTINDALE ST., STE 250","PITTSBURGH, PA 15212",dsciotto@tribweb.com,DaLynn Sciotto,412-349-1410,412-349-1434,
County,7055,PR,"SABRE EQUIPMENT, INC.",F/I: PLOW ASSEMBLIES: 3/4 & 1 TON TRUCKS,2015-04-30,50259,108 W. SHAW PLACE,"GLENSHAW, PA 151166",oneilprosound@verizon.net,Gerald O'Neil,412-487-7160,412-487-9018,
County,7067,EP,O'NEIL PRO SOUND,RENTAL OF PUBLIC ADDRESS SYSTEMS & EQUIPMENT,2015-06-30,50233,400 POPLAR STREET,"PITTSBURGH, PA 15233",rmorris@ohdpgh.com,Ron Morris,412-781-4000,412-337-3217,
County,7068,PR,WITMER PUBLIC SAFETY GROUP,"TASERS, TASER KITS, ETC.",2015-06-30,50271,PO BOX 249,"CHALK HILL, PA 15421",bwatts@officerstore.com,William Watts,724-437-1800,724-437-0277,
County,7071,PR,OTIS ELEVATOR,ELEVATOR MAINTENANCE,2016-07-26,50262,50-13TH STREET,"PITTSBURGH, PA 15222",,Suzanne M Sieber,,,
County,7072,PR,OVERHEAD DOOR OF GREATER PGH.,"OVERHEAD DOOR REPAIRS, ETC.",2015-04-30,50242,,,,,602-366-3999,602-366-3939,
