TYPE OF CONTRACT,CONTRACT,PA,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
County,7385,EP,SARGENT ELECTRIC,F/I/REPAIR: HVAC - (NPWR),12/31/16,51237,2767 LIBERTY AVENUE,"PITTSBURGH, PA 15222",mstaudt@sargent.com,Mark Staudt,412-391-0588,412-394-7555,
County,7386,EP,"PATH MASTER, INC.",GENUINE PARTS - TRAFFIC SIGNAL EQUIPMENT,11/30/16,51251,1960 MIDWAY DRIVE,"TWINSBURG, OH 44087",rsinko@pathmasterinc.com,Ron Sinko,330-425-4494,330-425-9338,
County,i3141,EP,"USA MOBILITY WIRELESS, INC. dba SPOK",RENTAL OF POCKET PAGERS,1/31/16,50063,6850 VERSAR CENTER DRIVE,"SPRINGFIELD, VA 22151",gov.sales@usamobility.com,Government Sales,443-305-6145,877-351-0872,
County,i3157,WC,HOUGH AND HOUGH FARMS,INFIELD MIX (COUNTY SPEC),12/31/14,50718,118 TIETZE ROAD,"SMITHTON, PA 15479",keithih@msn.com,James Hough,724-872-9442,724-872-1017,
County,i3159,PR,SHANNON SAFETY PRODUCTS,PRESCRIPTION SAFETY GLASSES SERVICES,8/31/14,50201,368 COMMERCIAL ST.,"BRIDGEVILLE, PA  15017",gcgallaway,Greg Galloway,412-257-4700,412-257-4400,
County,i3164,EP,SMG-DAVID L LAWRENCE CONVENTION CENTER,MEETING/TESTING FACILITY RENTAL,6/30/15,50194,1000 FORT DUQUESNE BLVD,"PITTSBURGH, PA 15219",dsmucker@pittsburghcc.com,Debbie Smucker,412-325-6174,,
County,i3171,EP,"ZIPCAR, INC.",AUTOMATED VEHICLE SHARING SERVICES II,9/30/15,50240,25 FIRST STREET,"CAMBRIDGE, MA 02141",thauber@zipcar.com,Todd Hauber,412-288-2563,212-691-0107,
CWCOG,MV-15,WC,DAY FLEET SALES (CWCOG),VEHICLES & EQUIPMENT,10/27/15,50791,1600 GOLDEN MILE HIGHWAY,"MONROEVILLE, PA  15146",dayfleet@yahoo.com,Mike Viscusi,724-327-0900,724-327-6294,
ELA,ELA-36-12,,SPENCER MANUFACTURING,2000GPM PUMPER FIRE APPARATUS,9/30/15,42277,165 VETERANS BOULEVARD,"SOUTH HAVEN, MI   49090", ,Grant Spencer,269-637-8721,269-639-1697,
GSA,GS-35F-0143R,,SYNNEX ,INFORMATION TECHNOLOGY,11/28/14,50807,,,,,,,
Lackawanna,01E60812,EP,see costars 3 for CDW,MICROSOFT LICENSING,6/4/14,47883,,"CHICAGO, IL",tonymin@cdw.com,Tony Minasola,,847-968-1570,
PBOE,,WC,W.L. ROENIGK,PUPIL TRANSPORTATION AGREEMENT,6/30/16,48006,798 EKASTOWN ROAD,"SARVER, PA  16055",,W.L. Roenigk,,,
Philadelphia,140098,PR,UNI-SELECT USA,TIRE SNOW CHAINS AND ACCESSORIES,7/31/15,50549,901 N. LENOLA RD. ,"MOORESTOWN, NJ 08057",jstrecker@uniselect.com,Jim Strecker,800-257-7952x1044,800-723-1377,
PWSA,PWSA 7*,WC,"EJ USA, Inc.",WATER & SEWER INVENTORY SUPPLIES,5/2/15,42126,"301 SPRING STREET, PO 439","EAST JORDAN, MIO  49727",Kevin.Pushay@ejco.com,Kevin Pushay,800-874-4100, ,
STATE,4400012531,EP,ECOLAB (formerly 4400014236) ,DISHWASHING CHEMICALS,3/31/16,48497,PO BOX 905327,"CHARLOTTE, NC", , ,800-321-1804,717-612-3105,
U.R.A.,2013-2014,WC,CITY SOURCE ASSOCIATES,MAINTENANCE OF CDBG-ELIGIBLE PROPERTIES,3/31/14,50157,"401 BINGHAM STREET, STE 301","PITTSBURGH, PA 15203-1001",,William D. Harlak,412-431-3774,412-431-3787,12/5 e/m state
